Longitud_de_onda_A,espectro
4000.0000,0.959928
4000.0500,0.975063
4000.1000,0.983064
4000.1500,0.97142
4000.2000,0.974369
4000.2500,0.974454
4000.3000,0.980114
4000.3500,0.989674
4000.4000,0.966925
4000.4500,0.967556
4000.5000,0.951166
4000.5500,0.960255
4000.6000,1.00323
4000.6500,0.984538
4000.7000,0.972364
4000.7500,0.978768
4000.8000,0.976634
4000.8500,0.967806
4000.9000,0.996452
4000.9500,0.98518
4001.0000,0.930249
4001.0500,0.98686
4001.1000,0.986293
4001.1500,0.945324
4001.2000,0.983395
4001.2500,0.943283
4001.3000,0.971103
4001.3500,0.988403
4001.4000,0.93954
4001.4500,0.965974
4001.5000,0.979832
4001.5500,0.969401
4001.6000,0.976737
4001.6500,1.00221
4001.7000,1.01959
4001.7500,0.993303
4001.8000,0.984253
4001.8500,0.938619
4001.9000,0.958856
4001.9500,0.947476
4002.0000,0.96477
4002.0500,0.976634
4002.1000,0.971834
4002.1500,0.966804
4002.2000,0.998653
4002.2500,0.97123
4002.3000,0.975676
4002.3500,1.02698
4002.4000,1.00607
4002.4500,0.937463
4002.5000,0.983308
4002.5500,0.959257
4002.6000,0.9753
4002.6500,0.964052
4002.7000,0.987754
4002.7500,0.990351
4002.8000,0.978589
4002.8500,0.966623
4002.9000,1.00283
4002.9500,1.02188
4003.0000,0.98316
4003.0500,0.95256
4003.1000,0.951956
4003.1500,0.962313
4003.2000,0.957654
4003.2500,0.999808
4003.3000,1.0206
4003.3500,0.994629
4003.4000,0.978735
4003.4500,1.00009
4003.5000,1.00669
4003.5500,1.07045
4003.6000,0.970579
4003.6500,0.970873
4003.7000,1.00968
4003.7500,0.969148
4003.8000,0.977417
4003.8500,0.97923
4003.9000,0.987749
4003.9500,1.00336
4004.0000,0.955181
4004.0500,1.03134
4004.1000,1.02145
4004.1500,0.993867
4004.2000,0.971944
4004.2500,0.962553
4004.3000,0.986483
4004.3500,0.957638
4004.4000,0.970443
4004.4500,1.00872
4004.5000,0.981221
4004.5500,0.967894
4004.6000,0.998877
4004.6500,0.961229
4004.7000,0.997175
4004.7500,1.0148
4004.8000,0.977618
4004.8500,0.979796
4004.9000,0.965435
4004.9500,1.04599
4005.0000,0.98811
4005.0500,0.987389
4005.1000,0.97868
4005.1500,0.949049
4005.2000,0.987819
4005.2500,0.957906
4005.3000,1.02044
4005.3500,1.02
4005.4000,0.983314
4005.4500,1.01673
4005.5000,1.01086
4005.5500,1.07666
4005.6000,1.00038
4005.6500,1.01761
4005.7000,1.03667
4005.7500,1.00019
4005.8000,0.976768
4005.8500,1.0016
4005.9000,0.971447
4005.9500,0.96169
4006.0000,0.985094
4006.0500,1.00454
4006.1000,0.985207
4006.1500,0.993655
4006.2000,0.95119
4006.2500,0.956196
4006.3000,0.963761
4006.3500,0.977569
4006.4000,0.973743
4006.4500,0.984278
4006.5000,0.995637
4006.5500,0.985164
4006.6000,0.9997
4006.6500,0.977408
4006.7000,0.992392
4006.7500,1.01751
4006.8000,0.96509
4006.8500,0.970381
4006.9000,0.996739
4006.9500,0.963802
4007.0000,1.00752
4007.0500,0.969827
4007.1000,0.975105
4007.1500,1.0026
4007.2000,0.973646
4007.2500,1.013
4007.3000,0.958354
4007.3500,0.966847
4007.4000,0.964958
4007.4500,0.988459
4007.5000,0.991247
4007.5500,0.998653
4007.6000,0.991199
4007.6500,1.01546
4007.7000,0.958483
4007.7500,0.987841
4007.8000,0.953127
4007.8500,0.997994
4007.9000,0.966708
4007.9500,0.948697
4008.0000,0.96141
4008.0500,1.00377
4008.1000,0.992046
4008.1500,0.967251
4008.2000,0.969413
4008.2500,0.972283
4008.3000,0.982011
4008.3500,0.985036
4008.4000,1.00333
4008.4500,0.96803
4008.5000,0.998175
4008.5500,0.965405
4008.6000,0.959196
4008.6500,0.992411
4008.7000,1.0062
4008.7500,0.947742
4008.8000,0.969715
4008.8500,0.996127
4008.9000,0.986357
4008.9500,0.967945
4009.0000,0.924212
4009.0500,0.965083
4009.1000,0.922003
4009.1500,0.964326
4009.2000,0.954008
4009.2500,0.994517
4009.3000,0.978525
4009.3500,0.910809
4009.4000,0.964096
4009.4500,0.974679
4009.5000,0.996386
4009.5500,0.964378
4009.6000,0.966462
4009.6500,0.965109
4009.7000,0.977536
4009.7500,0.953384
4009.8000,0.971905
4009.8500,0.938724
4009.9000,1.0105
4009.9500,0.985802
4010.0000,1.00113
4010.0500,0.975171
4010.1000,0.964309
4010.1500,0.943528
4010.2000,0.882688
4010.2500,0.969823
4010.3000,0.975363
4010.3500,0.977634
4010.4000,0.944795
4010.4500,0.972837
4010.5000,0.964131
4010.5500,0.978835
4010.6000,0.955475
4010.6500,0.976014
4010.7000,0.9716
4010.7500,0.944103
4010.8000,0.960917
4010.8500,1.01376
4010.9000,0.978973
4010.9500,0.984474
4011.0000,0.987981
4011.0500,0.976763
4011.1000,0.983241
4011.1500,0.982126
4011.2000,0.969695
4011.2500,0.976383
4011.3000,0.9624
4011.3500,1.03439
4011.4000,1.00862
4011.4500,1.04065
4011.5000,0.996672
4011.5500,1.04057
4011.6000,1.02879
4011.6500,1.01348
4011.7000,0.991644
4011.7500,1.01303
4011.8000,1.05856
4011.8500,1.00397
4011.9000,0.991965
4011.9500,1.01982
4012.0000,1.01086
4012.0500,1.00699
4012.1000,0.960657
4012.1500,1.03238
4012.2000,1.01467
4012.2500,1.01557
4012.3000,0.966556
4012.3500,0.976452
4012.4000,1.01523
4012.4500,0.990727
4012.5000,0.981373
4012.5500,0.994953
4012.6000,0.981734
4012.6500,1.00492
4012.7000,1.00008
4012.7500,1.01034
4012.8000,1.04369
4012.8500,1.01276
4012.9000,0.985459
4012.9500,1.009
4013.0000,0.985036
4013.0500,0.940388
4013.1000,0.970391
4013.1500,1.02273
4013.2000,1.01574
4013.2500,0.970598
4013.3000,1.00311
4013.3500,0.987309
4013.4000,1.02295
4013.4500,1.00866
4013.5000,0.977851
4013.5500,0.990203
4013.6000,1.00353
4013.6500,0.991578
4013.7000,0.998152
4013.7500,1.04017
4013.8000,1.02569
4013.8500,1.03578
4013.9000,1.03367
4013.9500,1.01198
4014.0000,0.990744
4014.0500,1.02088
4014.1000,0.998661
4014.1500,0.980835
4014.2000,0.999798
4014.2500,1.00972
4014.3000,0.998341
4014.3500,0.989867
4014.4000,1.01951
4014.4500,1.02196
4014.5000,1.02984
4014.5500,1.01276
4014.6000,0.936645
