Longitud_de_onda_A,espectro
4000.0000,1.06363
4000.0500,0.953606
4000.1000,0.878511
4000.1500,0.892686
4000.2000,0.938849
4000.2500,0.812703
4000.3000,0.950854
4000.3500,0.727725
4000.4000,0.815482
4000.4500,0.527236
4000.5000,0.660697
4000.5500,0.887043
4000.6000,0.810953
4000.6500,1.01307
4000.7000,1.05847
4000.7500,1.12569
4000.8000,1.17222
4000.8500,1.18373
4000.9000,1.12738
4000.9500,1.1844
4001.0000,1.1326
4001.0500,0.910864
4001.1000,0.998626
4001.1500,1.13368
4001.2000,0.881615
4001.2500,0.919838
4001.3000,0.953766
4001.3500,0.968803
4001.4000,1.06214
4001.4500,0.970236
4001.5000,1.04567
4001.5500,1.06884
4001.6000,0.889295
4001.6500,0.659447
4001.7000,0.641317
4001.7500,0.878656
4001.8000,0.913278
4001.8500,0.938463
4001.9000,1.13855
4001.9500,0.994702
4002.0000,1.16259
4002.0500,1.17262
4002.1000,1.08029
4002.1500,1.10775
4002.2000,1.23651
4002.2500,1.16168
4002.3000,1.16329
4002.3500,1.18538
4002.4000,0.944761
4002.4500,0.746181
4002.5000,0.948477
4002.5500,0.924095
4002.6000,1.03239
4002.6500,0.860139
4002.7000,1.09037
4002.7500,1.06277
4002.8000,0.998192
4002.8500,1.05332
4002.9000,0.985025
4002.9500,1.01985
4003.0000,0.879292
4003.0500,0.835229
4003.1000,0.763696
4003.1500,0.909155
4003.2000,0.990041
4003.2500,1.09993
4003.3000,1.13022
4003.3500,1.13004
4003.4000,1.02897
4003.4500,0.926239
4003.5000,1.11565
4003.5500,1.09684
4003.6000,1.00502
4003.6500,1.06992
4003.7000,1.01383
4003.7500,0.817537
4003.8000,0.727377
4003.8500,0.84874
4003.9000,0.982018
4003.9500,0.909858
4004.0000,0.836484
4004.0500,0.947686
4004.1000,0.927817
4004.1500,1.06165
4004.2000,0.915305
4004.2500,0.875568
4004.3000,1.02056
4004.3500,1.08428
4004.4000,1.18858
4004.4500,1.06173
4004.5000,1.24725
4004.5500,1.0602
4004.6000,1.07584
4004.6500,1.02526
4004.7000,0.782372
4004.7500,0.703665
4004.8000,0.90173
4004.8500,0.789952
4004.9000,0.791262
4004.9500,0.602924
4005.0000,0.654896
4005.0500,0.594472
4005.1000,0.426806
4005.1500,0.478581
4005.2000,0.45427
4005.2500,0.282624
4005.3000,0.268548
4005.3500,0.314947
4005.4000,0.386576
4005.4500,0.541039
4005.5000,0.628391
4005.5500,0.74438
4005.6000,0.635873
4005.6500,0.541242
4005.7000,0.676517
4005.7500,0.931319
4005.8000,0.922171
4005.8500,0.803695
4005.9000,0.811503
4005.9500,0.764143
4006.0000,0.91306
4006.0500,1.09844
4006.1000,0.86899
4006.1500,1.24162
4006.2000,0.966272
4006.2500,0.978502
4006.3000,0.79899
4006.3500,0.841163
4006.4000,0.866647
4006.4500,0.850299
4006.5000,0.833346
4006.5500,0.917742
4006.6000,0.924553
4006.6500,0.97247
4006.7000,0.811106
4006.7500,0.790924
4006.8000,0.954329
4006.8500,0.926364
4006.9000,1.05837
4006.9500,1.13676
4007.0000,1.27346
4007.0500,1.19888
4007.1000,1.15865
4007.1500,1.08862
4007.2000,0.740192
4007.2500,0.62656
4007.3000,0.694916
4007.3500,0.724098
4007.4000,0.6739
4007.4500,0.746078
4007.5000,0.882838
4007.5500,0.923843
4007.6000,0.969183
4007.6500,1.06565
4007.7000,1.00387
4007.7500,1.15069
4007.8000,1.28379
4007.8500,1.03094
4007.9000,0.667134
4007.9500,0.93305
4008.0000,0.72693
4008.0500,0.72843
4008.1000,0.812057
4008.1500,0.747922
4008.2000,0.855156
4008.2500,1.0073
4008.3000,1.16449
4008.3500,1.21709
4008.4000,1.13045
4008.4500,1.17478
4008.5000,1.17545
4008.5500,1.07919
4008.6000,0.939414
4008.6500,0.72754
4008.7000,0.646978
4008.7500,0.410409
4008.8000,0.459863
4008.8500,0.345895
4008.9000,0.387704
4008.9500,0.306771
4009.0000,0.480535
4009.0500,0.420646
4009.1000,0.734734
4009.1500,0.89492
4009.2000,0.996395
4009.2500,1.22189
4009.3000,1.1667
4009.3500,1.14291
4009.4000,1.22658
4009.4500,1.01641
4009.5000,0.880072
4009.5500,0.394665
4009.6000,0.557816
4009.6500,0.440013
4009.7000,0.434589
4009.7500,0.434237
4009.8000,0.516978
4009.8500,0.617597
4009.9000,0.847897
4009.9500,1.07257
4010.0000,1.1719
4010.0500,1.28271
4010.1000,1.28612
4010.1500,1.2961
4010.2000,1.03527
4010.2500,1.22374
4010.3000,1.19988
4010.3500,1.30343
4010.4000,1.18328
4010.4500,1.19427
4010.5000,0.978266
4010.5500,0.992675
4010.6000,1.04824
4010.6500,1.04556
4010.7000,0.966812
4010.7500,0.903501
4010.8000,1.03379
4010.8500,1.03789
4010.9000,1.1777
4010.9500,1.09689
4011.0000,0.935839
4011.0500,0.842605
4011.1000,0.824592
4011.1500,0.773588
4011.2000,0.787196
4011.2500,0.929064
4011.3000,0.97968
4011.3500,0.775967
4011.4000,0.752173
4011.4500,0.760019
4011.5000,0.837373
4011.5500,0.57824
4011.6000,0.754125
4011.6500,0.841608
4011.7000,0.694648
4011.7500,0.864283
4011.8000,1.0573
4011.8500,1.07958
4011.9000,1.26561
4011.9500,1.24535
4012.0000,1.19727
4012.0500,1.10943
4012.1000,1.13131
4012.1500,0.903196
4012.2000,0.646423
4012.2500,0.60738
4012.3000,0.729461
4012.3500,0.640387
4012.4000,0.502831
4012.4500,0.583577
4012.5000,0.576025
4012.5500,0.624079
4012.6000,0.667249
4012.6500,0.697595
4012.7000,0.65998
4012.7500,0.704645
4012.8000,0.85256
4012.8500,1.00614
4012.9000,1.08515
4012.9500,1.32989
4013.0000,1.29671
4013.0500,1.34391
4013.1000,1.3518
4013.1500,1.28478
4013.2000,1.09986
4013.2500,1.12041
4013.3000,1.10174
4013.3500,1.13399
4013.4000,1.0938
4013.4500,1.23097
4013.5000,0.920226
4013.5500,0.940879
4013.6000,0.771908
4013.6500,0.869424
4013.7000,0.749295
4013.7500,0.681095
4013.8000,0.695306
4013.8500,0.742189
4013.9000,0.790126
4013.9500,0.78574
4014.0000,1.0494
4014.0500,1.12734
4014.1000,1.2052
4014.1500,1.04693
4014.2000,0.990737
4014.2500,1.11684
4014.3000,0.990832
4014.3500,0.950576
4014.4000,0.763296
4014.4500,0.544794
4014.5000,0.620571
4014.5500,0.660594
4014.6000,0.705368
4014.6500,0.764153
4014.7000,0.878183
4014.7500,1.04916
4014.8000,0.936116
4014.8500,0.949821
4014.9000,1.0377
4014.9500,1.05394
4015.0000,0.949987
4015.0500,0.998441
4015.1000,1.1689
4015.1500,1.10878
4015.2000,1.17907
4015.2500,1.0605
4015.3000,0.928314
4015.3500,0.820228
4015.4000,0.660885
4015.4500,0.820895
4015.5000,0.95725
4015.5500,0.909171
4015.6000,0.823613
4015.6500,1.04421
4015.7000,0.930977
4015.7500,1.08051
4015.8000,1.31032
4015.8500,1.26586
4015.9000,1.42665
4015.9500,1.28517
4016.0000,1.36277
4016.0500,1.43024
4016.1000,1.30737
4016.1500,1.19034
4016.2000,1.29189
4016.2500,0.982678
4016.3000,0.928922
4016.3500,0.866418
4016.4000,0.739183
4016.4500,0.740552
4016.5000,0.983777
4016.5500,1.05796
4016.6000,1.12705
4016.6500,1.14011
4016.7000,0.985911
4016.7500,1.26163
4016.8000,1.16572
4016.8500,1.09943
4016.9000,1.04027
4016.9500,0.87377
4017.0000,0.791511
4017.0500,0.780499
4017.1000,0.632932
4017.1500,0.640463
4017.2000,0.680475
4017.2500,0.923737
4017.3000,0.932624
4017.3500,0.963279
4017.4000,0.984719
4017.4500,0.972249
4017.5000,0.937648
4017.5500,0.997141
4017.6000,1.02519
4017.6500,0.946029
4017.7000,0.739511
4017.7500,0.709749
4017.8000,0.888536
4017.8500,0.919879
4017.9000,0.878921
4017.9500,0.81458
4018.0000,0.721213
4018.0500,0.565046
4018.1000,0.612875
4018.1500,0.52958
4018.2000,0.554434
4018.2500,0.462556
4018.3000,0.68197
4018.3500,0.901693
4018.4000,0.740968
4018.4500,0.849373
4018.5000,1.13816
4018.5500,1.21736
4018.6000,1.1912
4018.6500,1.36391
4018.7000,1.2127
4018.7500,1.04326
4018.8000,0.756415
4018.8500,0.895222
4018.9000,0.950964
4018.9500,0.845902
4019.0000,0.846998
4019.0500,0.765191
4019.1000,0.92153
4019.1500,0.815124
4019.2000,0.789275
4019.2500,0.731207
4019.3000,0.693876
4019.3500,0.682846
4019.4000,0.692714
4019.4500,0.865366
4019.5000,1.12981
4019.5500,1.3283
4019.6000,1.21536
4019.6500,1.23613
4019.7000,1.17874
4019.7500,1.06743
4019.8000,1.03177
4019.8500,1.02352
4019.9000,0.956597
4019.9500,0.955164
4020.0000,0.93219
4020.0500,0.969113
4020.1000,0.800504
4020.1500,0.858665
4020.2000,0.683974
4020.2500,0.650307
4020.3000,0.472219
4020.3500,0.567077
4020.4000,0.416306
4020.4500,0.465051
4020.5000,0.573415
4020.5500,0.657344
4020.6000,0.824682
4020.6500,1.03377
4020.7000,1.09891
4020.7500,0.925686
4020.8000,0.628081
4020.8500,0.501422
4020.9000,0.475928
4020.9500,0.55286
4021.0000,0.44814
4021.0500,0.646918
4021.1000,0.786912
4021.1500,0.889387
4021.2000,1.11523
4021.2500,1.06224
4021.3000,0.813302
4021.3500,0.815815
4021.4000,0.967653
4021.4500,0.965146
4021.5000,1.05989
4021.5500,0.769777
4021.6000,0.695888
4021.6500,0.681008
4021.7000,0.512176
4021.7500,0.510817
4021.8000,0.465048
4021.8500,0.464651
4021.9000,0.506047
4021.9500,0.708106
4022.0000,0.75227
4022.0500,0.852569
4022.1000,0.624011
4022.1500,0.774306
4022.2000,0.779952
4022.2500,0.756499
4022.3000,0.853201
4022.3500,1.00524
4022.4000,0.88787
4022.4500,1.04235
4022.5000,1.001
4022.5500,1.06734
4022.6000,1.04291
4022.6500,1.03224
4022.7000,0.932494
4022.7500,0.986799
4022.8000,0.936132
4022.8500,1.03604
4022.9000,0.895608
4022.9500,0.78949
4023.0000,0.790374
4023.0500,0.688177
4023.1000,0.796513
4023.1500,0.754275
4023.2000,0.655313
4023.2500,0.611188
4023.3000,0.628017
4023.3500,0.595039
4023.4000,0.645519
4023.4500,0.638495
4023.5000,0.571475
4023.5500,0.531749
4023.6000,0.429177
4023.6500,0.431716
4023.7000,0.472023
4023.7500,0.387317
4023.8000,0.548783
4023.8500,0.620482
4023.9000,0.582519
4023.9500,0.736403
4024.0000,0.667652
4024.0500,0.755953
4024.1000,0.772144
4024.1500,0.853214
4024.2000,0.905386
4024.2500,0.820591
4024.3000,0.788939
4024.3500,0.747872
4024.4000,0.593455
4024.4500,0.476753
4024.5000,0.367591
4024.5500,0.317599
4024.6000,0.255112
4024.6500,0.269295
4024.7000,0.274404
4024.7500,0.419189
4024.8000,0.47969
4024.8500,0.477612
4024.9000,0.542008
4024.9500,0.659126
4025.0000,0.66269
4025.0500,0.637659
4025.1000,0.598205
4025.1500,0.615517
4025.2000,0.60411
4025.2500,0.617935
4025.3000,0.867431
4025.3500,0.874188
4025.4000,0.859032
4025.4500,0.903278
4025.5000,1.10266
4025.5500,1.1597
4025.6000,1.19247
4025.6500,1.24397
4025.7000,1.18473
