Longitud_de_onda_A,espectro
4000.0000,0.926546
4000.0500,0.909602
4000.1000,0.938629
4000.1500,0.886568
4000.2000,0.797793
4000.2500,0.750114
4000.3000,0.774544
4000.3500,0.741054
4000.4000,0.675448
4000.4500,0.545227
4000.5000,0.488023
4000.5500,0.643143
4000.6000,0.816526
4000.6500,0.996461
4000.7000,1.13802
4000.7500,1.06254
4000.8000,1.16081
4000.8500,1.13102
4000.9000,0.995681
4000.9500,1.04242
4001.0000,1.00244
4001.0500,0.841935
4001.1000,0.924418
4001.1500,0.890725
4001.2000,0.858252
4001.2500,0.876026
4001.3000,0.903256
4001.3500,0.99348
4001.4000,0.971784
4001.4500,0.864958
4001.5000,0.880151
4001.5500,0.786184
4001.6000,0.659603
4001.6500,0.565932
4001.7000,0.602703
4001.7500,0.683211
4001.8000,1.01021
4001.8500,1.10007
4001.9000,1.19398
4001.9500,1.1583
4002.0000,1.10391
4002.0500,1.1566
4002.1000,1.08806
4002.1500,1.14782
4002.2000,1.16473
4002.2500,1.11481
4002.3000,0.951338
4002.3500,1.0344
4002.4000,1.01496
4002.4500,0.753279
4002.5000,0.695868
4002.5500,0.687006
4002.6000,0.798876
4002.6500,0.921504
4002.7000,0.899931
4002.7500,1.02521
4002.8000,0.965396
4002.8500,0.974778
4002.9000,0.896111
4002.9500,0.732929
4003.0000,0.819776
4003.0500,0.8522
4003.1000,0.902336
4003.1500,0.918818
4003.2000,1.06855
4003.2500,1.07033
4003.3000,1.07178
4003.3500,1.18378
4003.4000,1.04711
4003.4500,0.984866
4003.5000,0.935181
4003.5500,1.02822
4003.6000,1.09063
4003.6500,1.07738
4003.7000,0.888905
4003.7500,0.80738
4003.8000,0.80616
4003.8500,0.851108
4003.9000,0.828884
4003.9500,0.818551
4004.0000,0.692397
4004.0500,0.70871
4004.1000,0.875668
4004.1500,0.914961
4004.2000,1.02751
4004.2500,0.914081
4004.3000,0.989632
4004.3500,1.02025
4004.4000,1.10706
4004.4500,1.10433
4004.5000,1.00073
4004.5500,1.13745
4004.6000,1.02901
4004.6500,0.938584
4004.7000,0.788631
4004.7500,0.725862
4004.8000,0.781678
4004.8500,0.570061
4004.9000,0.656764
4004.9500,0.619308
4005.0000,0.610866
4005.0500,0.438346
4005.1000,0.330933
4005.1500,0.303747
4005.2000,0.273589
4005.2500,0.287688
4005.3000,0.22262
4005.3500,0.341793
4005.4000,0.269504
4005.4500,0.482956
4005.5000,0.478949
4005.5500,0.605223
4005.6000,0.775973
4005.6500,0.684534
4005.7000,0.665862
4005.7500,0.727281
4005.8000,0.853529
4005.8500,0.898047
4005.9000,0.836034
4005.9500,0.74059
4006.0000,0.771337
4006.0500,0.979906
4006.1000,0.899625
4006.1500,0.989716
4006.2000,0.828273
4006.2500,0.82179
4006.3000,0.794679
4006.3500,0.716605
4006.4000,0.842758
4006.4500,0.937906
4006.5000,0.865516
4006.5500,0.882539
4006.6000,0.691259
4006.6500,0.7144
4006.7000,0.819987
4006.7500,0.88725
4006.8000,0.931545
4006.8500,1.00218
4006.9000,1.05126
4006.9500,1.10836
4007.0000,1.05953
4007.0500,1.15564
4007.1000,0.958229
4007.1500,0.89612
4007.2000,0.652402
4007.2500,0.594563
4007.3000,0.620935
4007.3500,0.809462
4007.4000,0.728858
4007.4500,0.761069
4007.5000,0.752585
4007.5500,0.866866
4007.6000,0.92695
4007.6500,1.10054
4007.7000,1.10008
4007.7500,1.04476
4007.8000,1.03513
4007.8500,0.911455
4007.9000,0.762392
4007.9500,0.517862
4008.0000,0.582458
4008.0500,0.553012
4008.1000,0.655753
4008.1500,0.82564
4008.2000,0.787554
4008.2500,1.00236
4008.3000,0.932296
4008.3500,1.07905
4008.4000,1.04978
4008.4500,1.07134
4008.5000,1.04467
4008.5500,1.12523
4008.6000,0.978666
4008.6500,0.801087
4008.7000,0.716572
4008.7500,0.451968
4008.8000,0.46111
4008.8500,0.3529
