Longitud_de_onda_A,espectro
4000.0000,0.969608
4000.0500,0.984532
4000.1000,0.992066
4000.1500,0.98428
4000.2000,0.992079
4000.2500,0.982823
4000.3000,0.977486
4000.3500,0.969791
4000.4000,0.985105
4000.4500,0.985261
4000.5000,0.96248
4000.5500,0.965704
4000.6000,0.981036
4000.6500,0.987636
4000.7000,0.967045
4000.7500,0.968366
4000.8000,0.958826
4000.8500,0.983809
4000.9000,0.989069
4000.9500,0.977953
4001.0000,0.966371
4001.0500,0.987272
4001.1000,0.987604
4001.1500,0.985388
4001.2000,0.982764
4001.2500,0.985764
4001.3000,1.00659
4001.3500,0.986763
4001.4000,0.978721
4001.4500,0.981389
4001.5000,0.98759
4001.5500,0.982763
4001.6000,0.995971
4001.6500,0.976513
4001.7000,0.993522
4001.7500,0.975491
4001.8000,0.979628
4001.8500,0.987373
4001.9000,0.97566
4001.9500,0.996192
4002.0000,0.996666
4002.0500,1.01805
4002.1000,0.962364
4002.1500,0.982545
4002.2000,1.00883
4002.2500,0.981893
4002.3000,0.971412
4002.3500,0.983701
4002.4000,0.98064
4002.4500,0.988619
4002.5000,1.01
4002.5500,0.997341
4002.6000,0.983436
4002.6500,0.974375
4002.7000,0.979693
4002.7500,0.963878
4002.8000,0.981141
4002.8500,0.995749
4002.9000,0.964136
4002.9500,0.982811
4003.0000,0.983736
4003.0500,0.968074
4003.1000,0.9615
4003.1500,0.962979
4003.2000,0.952886
4003.2500,0.963156
4003.3000,0.984421
4003.3500,0.94395
4003.4000,0.967529
4003.4500,0.969718
4003.5000,0.958046
4003.5500,0.98202
4003.6000,0.96791
4003.6500,0.940764
4003.7000,0.971307
4003.7500,0.974726
4003.8000,0.974319
4003.8500,0.96043
4003.9000,0.961889
4003.9500,0.978646
4004.0000,0.953073
4004.0500,0.959495
4004.1000,0.986244
4004.1500,0.976339
4004.2000,0.970207
4004.2500,0.949901
4004.3000,0.969778
4004.3500,0.969321
4004.4000,0.965839
4004.4500,0.993816
4004.5000,0.971531
4004.5500,0.981226
4004.6000,0.985297
4004.6500,0.976466
4004.7000,0.987689
4004.7500,0.987243
4004.8000,0.994286
4004.8500,0.978969
4004.9000,0.977323
4004.9500,0.99755
4005.0000,0.989627
4005.0500,1.00299
4005.1000,1.00856
4005.1500,0.98687
4005.2000,0.984406
4005.2500,1.01896
4005.3000,0.997012
4005.3500,0.993171
4005.4000,0.997542
4005.4500,0.997251
4005.5000,0.954553
4005.5500,0.978436
4005.6000,0.98852
4005.6500,1.00121
4005.7000,0.975349
4005.7500,0.996236
4005.8000,0.983657
4005.8500,0.977504
4005.9000,1.00727
4005.9500,0.992612
4006.0000,1.01745
4006.0500,1.01464
4006.1000,1.01547
4006.1500,0.991629
