Longitud_de_onda_A,espectro
4000.0000,0.981324
4000.0500,0.982489
4000.1000,0.96048
4000.1500,0.959974
4000.2000,0.97294
4000.2500,0.991341
4000.3000,0.96623
4000.3500,0.968125
4000.4000,0.987255
4000.4500,0.967468
4000.5000,0.984495
4000.5500,1.00074
4000.6000,0.972116
4000.6500,0.987482
4000.7000,0.95709
4000.7500,0.986162
4000.8000,0.97942
4000.8500,0.978021
4000.9000,0.97402
4000.9500,0.990865
4001.0000,0.948391
4001.0500,0.971794
4001.1000,0.992681
4001.1500,0.953562
4001.2000,0.969131
4001.2500,1.00028
4001.3000,0.96219
4001.3500,0.973511
4001.4000,0.969362
4001.4500,0.999178
4001.5000,0.989426
4001.5500,0.977712
4001.6000,0.971685
4001.6500,0.972977
4001.7000,0.991687
4001.7500,0.990477
4001.8000,1.02291
4001.8500,0.976361
4001.9000,0.985405
4001.9500,0.999063
4002.0000,1.00133
4002.0500,0.992627
4002.1000,0.994938
4002.1500,0.978445
4002.2000,0.980613
4002.2500,0.990929
4002.3000,0.962102
4002.3500,0.975022
4002.4000,0.99806
4002.4500,0.985189
4002.5000,0.972078
4002.5500,0.970489
4002.6000,0.960666
4002.6500,1.00394
4002.7000,0.997288
4002.7500,0.990906
4002.8000,0.980531
4002.8500,0.976251
4002.9000,0.968821
4002.9500,0.964905
4003.0000,0.952508
4003.0500,0.964664
4003.1000,0.970161
4003.1500,0.984022
4003.2000,0.979727
4003.2500,0.964528
4003.3000,0.965413
4003.3500,0.980975
4003.4000,0.939063
4003.4500,0.967914
4003.5000,0.981872
4003.5500,0.979797
4003.6000,0.983099
4003.6500,0.942515
4003.7000,0.925928
4003.7500,0.959321
4003.8000,0.981348
4003.8500,0.980167
4003.9000,0.972916
4003.9500,0.980757
4004.0000,0.974214
4004.0500,0.953382
4004.1000,0.963585
4004.1500,0.988584
4004.2000,0.971222
4004.2500,0.990445
4004.3000,0.977703
4004.3500,0.939166
4004.4000,0.977368
4004.4500,0.9687
4004.5000,0.984316
4004.5500,0.982533
4004.6000,0.995141
4004.6500,1.01495
4004.7000,0.995186
4004.7500,0.998645
4004.8000,0.99863
4004.8500,0.996268
4004.9000,0.978608
4004.9500,0.990567
4005.0000,0.976944
4005.0500,1.01096
4005.1000,1.00579
4005.1500,1.01005
4005.2000,0.95281
4005.2500,0.99287
4005.3000,0.995178
4005.3500,0.987231
4005.4000,0.967257
4005.4500,1.0215
4005.5000,1.01873
4005.5500,0.97367
4005.6000,0.997207
4005.6500,1.00026
4005.7000,0.992234
