Longitud_de_onda_A,espectro
4000.0000,0.961085
4000.0500,1.03784
4000.1000,1.01249
4000.1500,1.00415
4000.2000,0.989478
4000.2500,0.958658
4000.3000,0.972418
4000.3500,1.00883
4000.4000,1.03518
4000.4500,0.951954
4000.5000,1.01568
4000.5500,0.987415
4000.6000,0.996398
4000.6500,0.97373
4000.7000,1.02753
4000.7500,1.00505
4000.8000,0.997352
4000.8500,0.97885
4000.9000,0.966968
4000.9500,0.985144
4001.0000,1.01234
4001.0500,1.0103
4001.1000,0.980129
4001.1500,0.955192
4001.2000,1.01824
4001.2500,0.988497
4001.3000,1.01747
4001.3500,0.990983
4001.4000,0.963347
4001.4500,1.02008
4001.5000,0.998301
4001.5500,0.987765
4001.6000,0.944031
4001.6500,0.972293
4001.7000,0.970184
4001.7500,1.04417
4001.8000,1.01253
4001.8500,0.99115
4001.9000,1.03518
4001.9500,0.978128
4002.0000,0.985287
4002.0500,1.05522
4002.1000,1.02743
4002.1500,1.0268
4002.2000,1.02742
4002.2500,0.918176
4002.3000,0.989835
4002.3500,0.947724
4002.4000,1.0176
4002.4500,1.04394
4002.5000,1.01119
4002.5500,0.959323
4002.6000,1.02568
4002.6500,1.02096
4002.7000,1.00087
4002.7500,0.989767
4002.8000,1.01929
4002.8500,1.01604
4002.9000,1.02898
4002.9500,1.02375
4003.0000,0.99751
4003.0500,0.916687
4003.1000,0.944985
4003.1500,0.952801
4003.2000,0.921505
4003.2500,0.962817
4003.3000,0.967826
4003.3500,0.980333
4003.4000,0.968656
4003.4500,0.947405
4003.5000,0.931172
4003.5500,0.959881
4003.6000,0.966868
4003.6500,0.988076
4003.7000,0.943148
4003.7500,1.00525
4003.8000,1.01993
4003.8500,0.989212
4003.9000,1.00384
4003.9500,1.00797
4004.0000,0.993782
4004.0500,0.964744
4004.1000,0.9873
4004.1500,0.961595
4004.2000,0.975839
4004.2500,0.971325
4004.3000,0.949028
4004.3500,0.956535
4004.4000,0.962918
4004.4500,0.944997
4004.5000,0.99322
4004.5500,1.03868
4004.6000,1.01478
4004.6500,0.989517
4004.7000,1.01452
4004.7500,1.08845
4004.8000,0.996658
4004.8500,0.98847
4004.9000,0.960252
4004.9500,1.06157
4005.0000,0.9946
4005.0500,0.973476
4005.1000,0.959989
4005.1500,0.939996
4005.2000,0.961893
4005.2500,0.990221
4005.3000,0.979401
4005.3500,0.922626
4005.4000,1.01456
4005.4500,0.9833
4005.5000,0.9407
4005.5500,0.989803
4005.6000,1.02442
4005.6500,0.994478
4005.7000,1.02326
4005.7500,0.971424
4005.8000,1.03733
4005.8500,1.00273
4005.9000,1.06912
4005.9500,1.0118
4006.0000,0.97675
4006.0500,1.04278
4006.1000,0.989266
4006.1500,1.01945
4006.2000,1.02566
4006.2500,1.05418
4006.3000,1.04073
4006.3500,1.02063
4006.4000,1.05213
4006.4500,1.03149
4006.5000,1.03487
4006.5500,1.04242
4006.6000,0.996437
4006.6500,1.04064
4006.7000,1.02222
4006.7500,1.01684
4006.8000,1.07137
4006.8500,1.06615
4006.9000,1.08127
4006.9500,1.0396
4007.0000,0.992378
4007.0500,1.02439
4007.1000,1.02177
4007.1500,1.0352
4007.2000,1.01142
4007.2500,0.977046
4007.3000,0.99901
4007.3500,1.03524
4007.4000,1.00324
4007.4500,1.09572
4007.5000,1.10158
4007.5500,1.012
4007.6000,1.02965
4007.6500,1.02593
4007.7000,0.975186
4007.7500,0.977283
4007.8000,0.995322
4007.8500,1.03913
4007.9000,1.02562
4007.9500,1.02518
4008.0000,1.00801
4008.0500,1.05452
4008.1000,1.01976
4008.1500,1.02778
4008.2000,1.02167
4008.2500,1.01845
4008.3000,1.03231
4008.3500,1.09839
4008.4000,1.03076
4008.4500,0.986643
4008.5000,1.02444
4008.5500,0.993122
4008.6000,0.929544
4008.6500,0.957682
4008.7000,0.92525
4008.7500,0.947588
