Longitud_de_onda_A,espectro
4000.0000,0.96429
4000.0500,0.933528
4000.1000,0.952267
4000.1500,0.976594
4000.2000,0.971612
4000.2500,0.968407
4000.3000,1.00905
4000.3500,0.946921
4000.4000,0.96143
4000.4500,0.981821
4000.5000,0.963345
4000.5500,0.991535
4000.6000,1.00581
4000.6500,0.998478
4000.7000,0.953117
4000.7500,0.957457
4000.8000,0.964211
4000.8500,0.998276
4000.9000,0.985595
4000.9500,0.964849
4001.0000,0.972472
4001.0500,0.973919
4001.1000,1.00065
4001.1500,0.964457
4001.2000,0.961235
4001.2500,0.991969
4001.3000,0.976761
4001.3500,0.974274
4001.4000,1.02997
4001.4500,1.00603
4001.5000,0.993353
4001.5500,0.98325
4001.6000,0.98062
4001.6500,0.95428
4001.7000,0.96758
4001.7500,0.981365
4001.8000,0.97426
4001.8500,0.97214
4001.9000,0.993456
4001.9500,0.969567
4002.0000,0.988831
4002.0500,0.978336
4002.1000,1.00667
4002.1500,0.999536
4002.2000,0.954178
4002.2500,0.967297
4002.3000,0.967487
4002.3500,0.973008
4002.4000,0.994607
4002.4500,0.956928
4002.5000,0.965875
4002.5500,0.970076
4002.6000,0.97722
4002.6500,0.974163
4002.7000,0.979151
4002.7500,0.966525
4002.8000,0.985897
4002.8500,0.997812
4002.9000,0.982399
4002.9500,0.955952
4003.0000,0.951837
4003.0500,0.95818
4003.1000,0.962243
4003.1500,0.965943
4003.2000,0.983661
4003.2500,1.01436
4003.3000,0.984967
4003.3500,0.955498
4003.4000,0.976844
4003.4500,0.987613
4003.5000,1.0127
4003.5500,1.01548
4003.6000,0.962156
4003.6500,0.989945
4003.7000,0.980803
4003.7500,1.00975
4003.8000,0.981783
4003.8500,1.0138
4003.9000,0.973248
4003.9500,0.971927
4004.0000,0.964372
4004.0500,0.969656
4004.1000,0.996666
4004.1500,0.980154
4004.2000,0.964052
4004.2500,0.986113
4004.3000,0.964822
4004.3500,0.963293
4004.4000,1.00461
4004.4500,1.00046
4004.5000,1.0119
4004.5500,1.01597
4004.6000,0.973859
4004.6500,0.961376
4004.7000,0.977145
4004.7500,1.00872
4004.8000,0.987872
4004.8500,0.998981
4004.9000,0.969594
4004.9500,0.985984
4005.0000,0.97851
4005.0500,0.981589
4005.1000,0.980015
4005.1500,1.00853
4005.2000,0.970642
4005.2500,1.02305
4005.3000,0.983286
4005.3500,0.981994
4005.4000,0.987132
4005.4500,0.994464
4005.5000,0.993699
4005.5500,1.02717
4005.6000,1.03293
4005.6500,0.977997
4005.7000,0.990127
4005.7500,0.951004
4005.8000,0.987231
4005.8500,0.966792
4005.9000,1.01623
4005.9500,1.03892
4006.0000,0.986302
4006.0500,0.988339
4006.1000,0.978562
4006.1500,0.996919
4006.2000,0.983495
4006.2500,1.0308
4006.3000,1.004
4006.3500,0.998515
4006.4000,1.01235
4006.4500,0.976665
4006.5000,0.964534
4006.5500,0.994278
4006.6000,0.990968
4006.6500,0.992497
4006.7000,0.990825
4006.7500,0.985262
4006.8000,0.988498
4006.8500,1.00091
4006.9000,0.987387
4006.9500,1.00007
4007.0000,0.99057
4007.0500,0.965759
4007.1000,0.960916
4007.1500,0.985187
4007.2000,1.00907
4007.2500,0.99014
4007.3000,0.996689
4007.3500,0.98799
4007.4000,1.0095
4007.4500,1.01579
4007.5000,1.00377
4007.5500,0.993603
4007.6000,0.992085
4007.6500,1.0065
4007.7000,0.982151
4007.7500,0.992811
4007.8000,0.984376
4007.8500,0.968257
4007.9000,0.961052
4007.9500,0.982133
4008.0000,1.00417
4008.0500,0.978241
4008.1000,0.965665
4008.1500,1.01573
4008.2000,0.982434
4008.2500,0.992884
4008.3000,0.986406
4008.3500,0.986181
4008.4000,0.985794
4008.4500,0.972627
4008.5000,0.985726
4008.5500,0.948447
4008.6000,0.992829
4008.6500,0.980786
4008.7000,0.993554
4008.7500,1.00366
4008.8000,1.0126
4008.8500,0.985216
4008.9000,0.989244
4008.9500,0.961832
4009.0000,0.96758
4009.0500,0.984248
4009.1000,0.973096
4009.1500,0.959889
4009.2000,0.970548
4009.2500,0.953516
4009.3000,0.964986
4009.3500,1.00941
4009.4000,1.00041
4009.4500,0.962264
4009.5000,0.969752
4009.5500,0.958062
4009.6000,1.00825
4009.6500,0.989431
4009.7000,0.968371
4009.7500,0.967789
4009.8000,0.959865
4009.8500,1.00409
4009.9000,1.00295
4009.9500,0.972634
4010.0000,0.978207
4010.0500,0.985568
4010.1000,1.00582
4010.1500,0.998659
4010.2000,1.01003
4010.2500,0.984364
4010.3000,1.01056
4010.3500,1.00381
4010.4000,1.00496
4010.4500,1.03994
4010.5000,0.997894
4010.5500,1.01184
4010.6000,1.00244
4010.6500,0.986781
4010.7000,1.00826
4010.7500,1.01581
4010.8000,1.00071
4010.8500,0.980884
4010.9000,0.980874
4010.9500,1.00351
4011.0000,0.987496
4011.0500,0.990357
4011.1000,1.01553
4011.1500,0.995347
4011.2000,1.01266
4011.2500,1.02942
4011.3000,1.03631
4011.3500,1.00387
4011.4000,0.992975
4011.4500,0.99477
4011.5000,0.950455
4011.5500,1.01108
4011.6000,1.03961
4011.6500,1.05239
4011.7000,1.07128
4011.7500,1.01388
4011.8000,1.03814
4011.8500,1.06242
4011.9000,0.994355
4011.9500,1.0087
4012.0000,0.985085
4012.0500,1.01413
4012.1000,0.987842
4012.1500,0.963692
4012.2000,1.02857
4012.2500,1.01871
4012.3000,1.02927
4012.3500,1.03789
4012.4000,1.02386
4012.4500,1.01402
4012.5000,1.00465
4012.5500,0.980547
4012.6000,1.03208
4012.6500,0.983483
4012.7000,0.972832
4012.7500,0.98664
4012.8000,0.969946
4012.8500,1.03693
4012.9000,1.05433
4012.9500,1.06226
4013.0000,1.05245
4013.0500,1.02031
4013.1000,1.04567
4013.1500,1.03292
4013.2000,1.05816
4013.2500,0.976243
4013.3000,0.992462
4013.3500,1.0054
4013.4000,1.01138
4013.4500,0.981249
4013.5000,0.994317
4013.5500,1.0231
4013.6000,0.986172
4013.6500,0.988401
4013.7000,0.961388
4013.7500,0.997926
4013.8000,1.02412
4013.8500,0.959667
4013.9000,0.94398
4013.9500,0.986572
4014.0000,0.990601
4014.0500,1.01878
4014.1000,1.13977
4014.1500,1.03682
4014.2000,1.01472
4014.2500,1.02393
4014.3000,1.00418
4014.3500,1.00212
4014.4000,1.01867
4014.4500,0.988852
4014.5000,0.974744
4014.5500,0.98615
4014.6000,0.978058
4014.6500,1.01032
4014.7000,0.99303
4014.7500,0.961945
4014.8000,1.02364
4014.8500,1.01456
4014.9000,0.992532
4014.9500,1.00576
4015.0000,1.00619
4015.0500,0.995768
4015.1000,1.00549
4015.1500,1.00569
4015.2000,1.00287
4015.2500,1.0002
4015.3000,1.00151
4015.3500,1.007
4015.4000,1.02595
4015.4500,1.00676
4015.5000,0.987339
4015.5500,0.990586
4015.6000,1.0047
4015.6500,1.08172
4015.7000,1.00466
4015.7500,1.01759
4015.8000,1.00744
4015.8500,1.0022
4015.9000,1.05385
4015.9500,1.00665
4016.0000,1.01571
4016.0500,1.01406
4016.1000,0.989188
4016.1500,1.02331
4016.2000,1.02673
4016.2500,0.994888
4016.3000,1.01552
4016.3500,0.976486
4016.4000,0.996851
4016.4500,0.997785
4016.5000,1.00402
4016.5500,1.01944
4016.6000,0.998761
4016.6500,1.01367
4016.7000,1.01443
4016.7500,0.949054
4016.8000,0.992605
4016.8500,0.999285
4016.9000,1.02196
4016.9500,0.979003
4017.0000,1.00341
4017.0500,0.999779
4017.1000,0.97895
4017.1500,1.04347
4017.2000,1.01725
4017.2500,1.01578
4017.3000,0.999253
4017.3500,0.96816
4017.4000,0.978415
4017.4500,0.983348
4017.5000,0.989034
4017.5500,1.00078
4017.6000,1.00116
4017.6500,0.998006
4017.7000,0.991147
4017.7500,0.992344
4017.8000,0.982903
4017.8500,0.987114
4017.9000,1.02137
4017.9500,0.997817
4018.0000,1.00277
4018.0500,0.957155
4018.1000,0.994939
4018.1500,0.984292
4018.2000,0.98076
4018.2500,0.96433
4018.3000,1.02322
4018.3500,0.949807
4018.4000,0.968559
4018.4500,0.984194
4018.5000,0.982992
4018.5500,0.978949
4018.6000,0.937118
4018.6500,0.982111
4018.7000,0.96344
4018.7500,0.98681
4018.8000,0.964494
4018.8500,0.988804
4018.9000,0.948778
4018.9500,0.992504
4019.0000,0.958894
4019.0500,0.989013
4019.1000,0.994325
4019.1500,0.970221
4019.2000,0.959062
4019.2500,0.978452
4019.3000,1.00256
4019.3500,0.985429
4019.4000,0.994216
4019.4500,0.977211
4019.5000,0.993332
4019.5500,1.01245
4019.6000,0.971697
4019.6500,0.977408
4019.7000,0.995176
4019.7500,0.995685
4019.8000,0.963643
4019.8500,0.962731
4019.9000,0.989792
4019.9500,0.972238
4020.0000,0.98571
4020.0500,1.0069
4020.1000,0.964748
4020.1500,0.962673
4020.2000,0.942821
4020.2500,0.97039
4020.3000,1.017
4020.3500,1.00541
4020.4000,0.979414
4020.4500,0.979497
4020.5000,0.989138
4020.5500,0.928857
4020.6000,0.949271
4020.6500,0.984557
4020.7000,1.00387
4020.7500,0.992013
4020.8000,0.958564
4020.8500,0.949194
4020.9000,0.981094
4020.9500,0.979851
4021.0000,0.966785
4021.0500,0.980389
4021.1000,0.981738
4021.1500,0.970106
4021.2000,0.983583
4021.2500,1.00401
4021.3000,0.969768
4021.3500,0.949774
4021.4000,0.977362
4021.4500,0.964406
4021.5000,0.973857
4021.5500,0.977921
4021.6000,0.980434
4021.6500,0.970069
4021.7000,0.945532
4021.7500,1.00573
4021.8000,1.00697
4021.8500,0.989541
4021.9000,0.932062
4021.9500,0.996364
4022.0000,0.985768
4022.0500,0.982535
4022.1000,1.00374
4022.1500,0.936869
4022.2000,0.975114
4022.2500,0.95548
4022.3000,0.967981
4022.3500,0.962557
4022.4000,0.960056
4022.4500,0.965868
4022.5000,0.957857
4022.5500,0.947121
4022.6000,0.961877
4022.6500,0.97014
4022.7000,0.94923
4022.7500,0.966276
4022.8000,0.965555
4022.8500,0.944809
4022.9000,0.943908
4022.9500,0.938118
4023.0000,0.928096
4023.0500,0.978846
4023.1000,0.962255
4023.1500,0.970365
4023.2000,0.930054
4023.2500,0.937937
4023.3000,0.918847
4023.3500,0.935793
4023.4000,0.952967
4023.4500,0.953657
4023.5000,0.906083
4023.5500,0.932775
4023.6000,0.942558
4023.6500,0.941926
4023.7000,0.956356
4023.7500,0.93908
4023.8000,0.92441
4023.8500,0.928896
4023.9000,0.908945
4023.9500,0.909557
4024.0000,0.922509
4024.0500,0.91521
4024.1000,0.906169
4024.1500,0.897062
4024.2000,0.902089
4024.2500,0.902843
4024.3000,0.880923
4024.3500,0.909662
4024.4000,0.892718
4024.4500,0.898553
4024.5000,0.903148
4024.5500,0.874792
4024.6000,0.889295
4024.6500,0.903083
4024.7000,0.918385
4024.7500,0.872011
4024.8000,0.895124
4024.8500,0.882806
4024.9000,0.880092
4024.9500,0.875924
4025.0000,0.906376
4025.0500,0.851143
4025.1000,0.86131
4025.1500,0.864619
4025.2000,0.861523
4025.2500,0.864565
4025.3000,0.83226
4025.3500,0.850182
4025.4000,0.848897
4025.4500,0.840771
4025.5000,0.824615
4025.5500,0.81596
4025.6000,0.758661
4025.6500,0.830265
4025.7000,0.816392
4025.7500,0.79676
4025.8000,0.811543
4025.8500,0.779501
4025.9000,0.77055
4025.9500,0.785825
4026.0000,0.798937
4026.0500,0.79487
4026.1000,0.801145
4026.1500,0.809595
4026.2000,0.796703
4026.2500,0.84021
4026.3000,0.815725
4026.3500,0.817602
4026.4000,0.813781
4026.4500,0.816564
4026.5000,0.833744
4026.5500,0.825529
4026.6000,0.832188
4026.6500,0.838922
4026.7000,0.815107
4026.7500,0.835311
4026.8000,0.839211
4026.8500,1.03031
4026.9000,0.853491
4026.9500,0.864477
4027.0000,0.886144
4027.0500,0.867691
4027.1000,0.88177
4027.1500,0.849637
4027.2000,0.879053
4027.2500,0.894916
4027.3000,0.875633
4027.3500,0.885417
4027.4000,0.895506
4027.4500,0.891543
4027.5000,0.911321
4027.5500,0.915215
4027.6000,0.904464
4027.6500,0.928536
4027.7000,0.90996
4027.7500,0.939117
4027.8000,0.937141
4027.8500,0.930506
4027.9000,0.923488
4027.9500,0.945339
4028.0000,0.931662
4028.0500,0.948096
4028.1000,0.937236
4028.1500,0.955919
4028.2000,0.953703
4028.2500,0.913458
4028.3000,0.9552
4028.3500,0.985548
4028.4000,0.93464
4028.4500,0.979927
4028.5000,0.943866
4028.5500,0.979328
4028.6000,0.951811
4028.6500,0.937288
4028.7000,0.928428
4028.7500,0.946095
4028.8000,0.979604
4028.8500,0.962382
4028.9000,0.956365
4028.9500,0.934892
4029.0000,0.989301
4029.0500,0.949563
4029.1000,0.962389
4029.1500,0.999865
4029.2000,0.959377
4029.2500,0.951491
4029.3000,0.957623
4029.3500,0.957127
4029.4000,0.949848
4029.4500,0.951268
4029.5000,0.996087
4029.5500,0.999468
4029.6000,0.999321
4029.6500,0.933686
4029.7000,0.979069
4029.7500,0.970375
