Longitud_de_onda_A,espectro
4000.0000,0.975173
4000.0500,0.968085
4000.1000,0.917461
4000.1500,0.999537
4000.2000,0.943718
4000.2500,1.01283
4000.3000,1.02246
4000.3500,0.999728
4000.4000,0.969993
4000.4500,1.01385
4000.5000,0.972557
4000.5500,0.989691
4000.6000,0.992064
4000.6500,0.995301
4000.7000,0.986567
4000.7500,0.990926
4000.8000,1.003
4000.8500,0.989021
4000.9000,0.981452
4000.9500,1.00406
4001.0000,0.958292
4001.0500,1.03431
4001.1000,1.03008
4001.1500,0.97571
4001.2000,0.946658
4001.2500,0.993938
4001.3000,1.03031
4001.3500,0.97218
4001.4000,1.00634
4001.4500,0.963492
4001.5000,1.02082
4001.5500,0.983324
4001.6000,0.976941
4001.6500,0.965226
4001.7000,1.02072
4001.7500,0.965478
4001.8000,0.998955
4001.8500,1.00167
4001.9000,1.03653
4001.9500,1.00159
4002.0000,0.92819
4002.0500,0.906072
4002.1000,0.894811
4002.1500,0.906
4002.2000,0.986566
4002.2500,0.93678
4002.3000,0.96871
4002.3500,0.954812
4002.4000,1.00936
4002.4500,0.938633
4002.5000,0.896419
4002.5500,0.889796
4002.6000,0.868445
4002.6500,1.00675
4002.7000,0.992706
4002.7500,0.975248
4002.8000,1.01127
4002.8500,1.01787
4002.9000,1.02585
4002.9500,0.939892
4003.0000,0.970517
4003.0500,1.0177
4003.1000,0.995321
4003.1500,1.00018
4003.2000,0.951976
4003.2500,0.982408
4003.3000,0.922433
4003.3500,0.972807
4003.4000,0.961277
4003.4500,1.0306
4003.5000,1.01752
4003.5500,1.01883
4003.6000,0.998617
4003.6500,1.00579
4003.7000,0.95247
4003.7500,1.02291
4003.8000,1.01323
4003.8500,0.966474
4003.9000,0.98062
4003.9500,0.969358
4004.0000,1.01653
4004.0500,1.00626
4004.1000,0.974953
4004.1500,1.0129
4004.2000,1.02377
4004.2500,0.984225
4004.3000,0.958395
4004.3500,1.04799
4004.4000,0.999767
4004.4500,1.03517
4004.5000,1.02999
4004.5500,1.02697
4004.6000,1.00177
4004.6500,1.04335
4004.7000,0.979273
4004.7500,0.971331
4004.8000,0.987574
4004.8500,1.01056
4004.9000,1.02939
4004.9500,0.981163
4005.0000,0.971246
