Longitud_de_onda_A,espectro
4000.0000,0.954787
4000.0500,0.998714
4000.1000,0.979898
4000.1500,0.99003
4000.2000,0.962163
4000.2500,0.976993
4000.3000,0.969006
4000.3500,0.98652
4000.4000,1.02391
4000.4500,0.972548
4000.5000,0.988833
4000.5500,0.954397
4000.6000,1.01003
4000.6500,1.03716
4000.7000,1.00125
4000.7500,0.990299
4000.8000,0.979847
4000.8500,0.968215
4000.9000,1.01959
4000.9500,0.995026
4001.0000,0.985475
4001.0500,0.937614
4001.1000,0.99432
4001.1500,1.05786
4001.2000,0.965755
4001.2500,0.976887
4001.3000,1.01847
4001.3500,1.01818
4001.4000,0.998003
4001.4500,0.964644
4001.5000,0.964749
4001.5500,0.946193
4001.6000,0.97373
4001.6500,0.944051
4001.7000,0.97152
4001.7500,0.98143
4001.8000,1.00164
4001.8500,0.96467
4001.9000,0.951793
4001.9500,0.998539
4002.0000,0.995609
4002.0500,0.98352
4002.1000,1.01677
4002.1500,0.97941
4002.2000,1.00346
4002.2500,0.966053
4002.3000,0.983308
4002.3500,0.97597
4002.4000,0.99454
4002.4500,0.99044
4002.5000,0.945027
4002.5500,1.02037
4002.6000,1.04872
4002.6500,0.986891
4002.7000,0.995647
4002.7500,0.99317
4002.8000,0.975508
4002.8500,0.958986
4002.9000,0.970997
4002.9500,0.962427
4003.0000,0.96061
4003.0500,0.974214
4003.1000,1.01123
4003.1500,0.974783
4003.2000,0.980046
4003.2500,0.995672
4003.3000,1.00422
4003.3500,0.980378
4003.4000,0.977785
4003.4500,0.978276
4003.5000,0.993089
4003.5500,0.97059
4003.6000,1.03154
4003.6500,0.931941
4003.7000,0.950623
4003.7500,0.985683
4003.8000,1.0041
4003.8500,0.986465
4003.9000,1.004
4003.9500,0.986261
4004.0000,0.991593
4004.0500,0.94006
4004.1000,0.959809
4004.1500,0.956969
4004.2000,0.955021
4004.2500,0.974756
4004.3000,0.99632
4004.3500,0.936814
4004.4000,0.975105
4004.4500,0.9931
4004.5000,0.966174
4004.5500,0.95824
4004.6000,0.972099
4004.6500,0.965381
4004.7000,0.936543
4004.7500,0.998075
4004.8000,0.996613
4004.8500,1.02614
4004.9000,0.969096
4004.9500,0.946034
4005.0000,0.947644
4005.0500,0.976114
4005.1000,0.979917
4005.1500,0.941684
4005.2000,0.965709
4005.2500,0.977139
4005.3000,0.983907
4005.3500,1.02921
4005.4000,0.991347
4005.4500,1.02376
4005.5000,1.01648
4005.5500,0.998886
4005.6000,0.972606
4005.6500,0.955439
4005.7000,1.0019
4005.7500,1.01618
4005.8000,1.00005
4005.8500,1.03549
4005.9000,0.986592
4005.9500,0.970861
4006.0000,1.01421
4006.0500,1.02578
4006.1000,1.02661
4006.1500,1.04084
4006.2000,1.00761
4006.2500,1.03618
4006.3000,0.950796
4006.3500,0.993495
4006.4000,1.01701
4006.4500,0.996285
4006.5000,1.02053
4006.5500,1.0179
4006.6000,1.04992
4006.6500,0.980536
4006.7000,1.03136
4006.7500,1.006
4006.8000,1.00316
4006.8500,0.983381
4006.9000,1.05633
4006.9500,1.05932
4007.0000,1.05359
4007.0500,1.0378
4007.1000,0.997838
4007.1500,0.958168
4007.2000,0.956293
4007.2500,0.992078
4007.3000,0.983925
4007.3500,0.994188
4007.4000,1.00409
4007.4500,0.984366
4007.5000,0.997838
4007.5500,0.989558
4007.6000,0.976676
4007.6500,1.00515
4007.7000,0.99563
4007.7500,0.97346
4007.8000,0.945188
4007.8500,0.986076
4007.9000,0.98662
4007.9500,1.01138
4008.0000,1.02074
4008.0500,0.976743
4008.1000,0.985612
4008.1500,0.971692
4008.2000,0.983951
4008.2500,0.952949
4008.3000,0.936835
4008.3500,0.993308
4008.4000,0.983888
4008.4500,0.987982
4008.5000,0.982078
4008.5500,0.981525
4008.6000,0.965355
4008.6500,0.941375
4008.7000,0.953942
4008.7500,0.985133
4008.8000,0.942325
4008.8500,0.941486
4008.9000,0.943394
4008.9500,0.942888
4009.0000,0.951105
4009.0500,0.987533
4009.1000,0.995947
4009.1500,0.974923
4009.2000,0.932972
4009.2500,0.975694
4009.3000,0.948238
4009.3500,0.9615
4009.4000,0.908244
4009.4500,0.957429
4009.5000,0.996378
4009.5500,0.973686
4009.6000,0.987148
4009.6500,0.97369
4009.7000,0.908519
4009.7500,0.99581
4009.8000,0.970032
4009.8500,0.945581
4009.9000,0.929852
4009.9500,0.978227
4010.0000,0.95321
4010.0500,0.990376
4010.1000,0.992186
4010.1500,0.977861
4010.2000,0.983202
4010.2500,1.01795
4010.3000,0.954616
4010.3500,0.942089
4010.4000,1.02569
4010.4500,0.995167
4010.5000,0.951543
4010.5500,1.00554
4010.6000,1.02455
4010.6500,1.03594
4010.7000,0.940118
4010.7500,1.01404
4010.8000,0.998906
4010.8500,0.989583
4010.9000,0.992276
4010.9500,1.02013
4011.0000,1.00613
4011.0500,1.01088
4011.1000,1.02231
4011.1500,0.99123
4011.2000,1.02934
4011.2500,0.984539
4011.3000,0.97914
4011.3500,1.03287
4011.4000,1.05206
4011.4500,0.987225
4011.5000,1.07587
4011.5500,1.01913
4011.6000,1.03845
4011.6500,1.00181
4011.7000,0.977342
4011.7500,1.08305
4011.8000,1.00043
4011.8500,1.00065
4011.9000,1.02685
4011.9500,0.981937
4012.0000,1.00145
4012.0500,0.994321
4012.1000,0.949323
4012.1500,1.03002
4012.2000,1.01283
4012.2500,1.05151
4012.3000,1.05218
4012.3500,1.01367
4012.4000,0.973017
4012.4500,1.01813
4012.5000,1.03551
4012.5500,1.03113
4012.6000,1.03141
4012.6500,0.996183
4012.7000,1.0255
4012.7500,1.0475
4012.8000,1.03502
4012.8500,1.05417
4012.9000,1.01938
4012.9500,1.06075
4013.0000,1.03765
4013.0500,1.04437
4013.1000,1.00836
4013.1500,0.97204
4013.2000,1.03395
4013.2500,1.01933
4013.3000,1.02002
4013.3500,1.00475
4013.4000,0.964045
4013.4500,1.01706
4013.5000,0.99602
4013.5500,1.03507
4013.6000,1.02157
4013.6500,1.0068
4013.7000,1.0113
4013.7500,1.08336
4013.8000,1.01985
4013.8500,1.04608
4013.9000,1.01875
4013.9500,1.00686
4014.0000,1.02016
4014.0500,0.992216
4014.1000,1.02665
4014.1500,1.00482
4014.2000,1.01487
4014.2500,1.05823
4014.3000,1.0011
4014.3500,0.987904
4014.4000,1.00007
4014.4500,1.01005
4014.5000,1.01866
4014.5500,1.05222
4014.6000,1.03549
4014.6500,1.0178
4014.7000,0.962904
4014.7500,0.985282
4014.8000,1.03735
4014.8500,1.02269
4014.9000,1.04223
4014.9500,1.03499
4015.0000,1.04501
4015.0500,1.01557
4015.1000,0.997547
4015.1500,1.00191
4015.2000,0.956846
4015.2500,1.00645
4015.3000,1.01241
4015.3500,1.0183
4015.4000,1.03347
4015.4500,1.01603
4015.5000,1.07867
4015.5500,1.00657
4015.6000,0.978827
4015.6500,1.01059
4015.7000,1.0088
4015.7500,1.00967
4015.8000,0.978779
4015.8500,0.976967
4015.9000,0.994105
4015.9500,0.997932
4016.0000,0.99118
4016.0500,1.05566
4016.1000,1.01331
4016.1500,1.01183
4016.2000,1.00767
4016.2500,1.04295
4016.3000,1.00371
4016.3500,0.959291
4016.4000,0.973536
4016.4500,0.967597
4016.5000,1.01205
4016.5500,1.00342
4016.6000,0.966253
4016.6500,0.971602
4016.7000,1.00328
4016.7500,0.975156
4016.8000,1.01027
4016.8500,1.00752
4016.9000,0.991616
4016.9500,1.01106
4017.0000,1.00363
4017.0500,0.995978
4017.1000,0.958502
4017.1500,0.99434
4017.2000,1.00039
4017.2500,0.998766
4017.3000,1.00324
4017.3500,0.972891
4017.4000,0.968364
4017.4500,1.0199
4017.5000,1.00498
4017.5500,1.01207
4017.6000,0.979995
