Longitud_de_onda_A,espectro
4000.0000,0.988062
4000.0500,0.979458
4000.1000,1.02514
4000.1500,1.04684
4000.2000,0.976796
4000.2500,0.975721
4000.3000,0.994443
4000.3500,1.00987
4000.4000,1.00219
4000.4500,1.00602
4000.5000,1.0042
4000.5500,0.976544
4000.6000,0.994549
4000.6500,1.0012
4000.7000,0.987344
4000.7500,0.997231
4000.8000,0.988534
4000.8500,1.01108
4000.9000,0.974137
4000.9500,1.01217
4001.0000,0.994105
4001.0500,0.974684
4001.1000,1.01017
4001.1500,0.986986
4001.2000,0.977595
4001.2500,0.984303
4001.3000,0.978582
4001.3500,1.00204
4001.4000,1.00336
4001.4500,0.975573
4001.5000,1.00732
4001.5500,0.994707
4001.6000,0.980998
4001.6500,1.00513
4001.7000,1.00793
4001.7500,0.999536
4001.8000,0.984934
4001.8500,1.03043
4001.9000,0.993015
4001.9500,1.00474
4002.0000,0.978485
4002.0500,0.99077
4002.1000,0.985137
4002.1500,1.00266
4002.2000,1.0239
4002.2500,1.03054
4002.3000,1.02233
4002.3500,1.02978
4002.4000,0.978654
4002.4500,0.990381
4002.5000,1.00603
4002.5500,1.01006
4002.6000,1.02118
4002.6500,1.00469
4002.7000,0.99579
4002.7500,1.01617
4002.8000,1.01285
4002.8500,1.01983
4002.9000,1.0162
4002.9500,0.999393
4003.0000,1.01273
4003.0500,1.00488
4003.1000,0.973744
4003.1500,0.993446
4003.2000,0.997716
4003.2500,1.00627
4003.3000,0.995351
4003.3500,0.983335
4003.4000,0.997777
4003.4500,1.02935
4003.5000,0.99791
4003.5500,1.00047
4003.6000,0.991342
4003.6500,0.997991
4003.7000,0.998854
4003.7500,0.998042
4003.8000,0.9979
4003.8500,1.02155
4003.9000,0.985963
4003.9500,1.04036
4004.0000,0.98582
4004.0500,0.99033
4004.1000,0.982942
4004.1500,1.0054
4004.2000,0.992904
4004.2500,1.00785
4004.3000,1.03553
4004.3500,0.984505
4004.4000,0.989553
4004.4500,0.981675
4004.5000,0.982118
4004.5500,0.993119
4004.6000,0.967043
4004.6500,0.974956
4004.7000,0.938011
4004.7500,0.961742
4004.8000,0.987819
4004.8500,0.991436
4004.9000,0.997825
4004.9500,1.00683
4005.0000,1.00116
4005.0500,0.992226
4005.1000,0.995219
4005.1500,1.02432
4005.2000,0.984277
4005.2500,0.970664
4005.3000,0.986124
4005.3500,1.01473
4005.4000,1.0102
4005.4500,0.974877
4005.5000,0.988971
4005.5500,0.996223
4005.6000,1.02642
4005.6500,0.993349
4005.7000,0.987583
4005.7500,1.01703
4005.8000,1.01794
4005.8500,1.01302
4005.9000,1.02091
4005.9500,1.00538
4006.0000,1.00913
4006.0500,0.993477
4006.1000,0.989213
4006.1500,1.00704
4006.2000,0.982743
4006.2500,0.985651
4006.3000,0.984836
4006.3500,0.989072
4006.4000,0.979743
4006.4500,0.983608
4006.5000,0.985788
4006.5500,0.988181
4006.6000,0.967261
4006.6500,0.979995
4006.7000,0.982101
4006.7500,0.973125
4006.8000,0.996763
4006.8500,0.963508
4006.9000,0.953088
4006.9500,0.976313
4007.0000,0.972527
4007.0500,0.988347
4007.1000,0.962267
4007.1500,0.98288
4007.2000,0.931551
4007.2500,0.984929
4007.3000,0.958898
4007.3500,0.963533
4007.4000,0.957338
4007.4500,0.951528
4007.5000,0.94236
4007.5500,0.974509
4007.6000,0.961956
4007.6500,0.933768
4007.7000,0.944109
4007.7500,0.957751
4007.8000,0.959382
4007.8500,0.935869
4007.9000,0.931116
4007.9500,0.948902
4008.0000,0.922396
4008.0500,0.905576
4008.1000,0.918542
4008.1500,0.903989
4008.2000,0.909047
4008.2500,0.891616
4008.3000,0.888292
4008.3500,0.86704
4008.4000,0.856398
4008.4500,0.847224
4008.5000,0.832133
4008.5500,0.804446
4008.6000,0.804294
4008.6500,0.785994
4008.7000,0.772374
4008.7500,0.757516
4008.8000,0.7542
4008.8500,0.720785
4008.9000,0.722366
4008.9500,0.718458
4009.0000,0.72262
4009.0500,0.742473
4009.1000,0.744096
4009.1500,0.768939
4009.2000,0.756144
4009.2500,0.78079
4009.3000,0.795005
4009.3500,0.83043
4009.4000,0.814964
4009.4500,0.816292
4009.5000,0.844165
4009.5500,0.867553
4009.6000,0.894719
4009.6500,0.883717
4009.7000,0.896242
4009.7500,0.915561
4009.8000,0.893551
4009.8500,0.907928
4009.9000,0.887087
4009.9500,0.932675
4010.0000,0.929104
4010.0500,0.927795
