Longitud_de_onda_A,espectro
4000.0000,1.01954
4000.0500,0.942498
4000.1000,1.04699
4000.1500,0.955466
4000.2000,0.953907
4000.2500,0.952956
4000.3000,0.988948
4000.3500,1.02306
4000.4000,1.00146
4000.4500,1.04768
4000.5000,1.05383
4000.5500,0.99332
4000.6000,0.920997
4000.6500,0.967136
4000.7000,1.05521
4000.7500,0.994272
4000.8000,1.01621
4000.8500,0.9337
4000.9000,0.993002
4000.9500,1.03247
4001.0000,1.01035
4001.0500,1.00106
4001.1000,1.01657
4001.1500,0.987877
4001.2000,1.01777
4001.2500,0.979212
4001.3000,1.03902
4001.3500,1.02403
4001.4000,1.04197
4001.4500,1.03697
4001.5000,1.01038
4001.5500,0.99653
4001.6000,0.945396
4001.6500,0.978015
4001.7000,1.02014
4001.7500,0.967096
4001.8000,0.92407
4001.8500,0.954012
4001.9000,0.951407
4001.9500,0.977353
4002.0000,1.00569
4002.0500,1.0088
4002.1000,0.989526
4002.1500,1.00414
4002.2000,1.0242
4002.2500,1.01917
4002.3000,0.927663
4002.3500,1.0177
4002.4000,0.947163
4002.4500,1.01132
4002.5000,1.00144
4002.5500,0.973123
4002.6000,1.00146
4002.6500,1.00271
4002.7000,1.01771
4002.7500,0.961304
4002.8000,1.02619
4002.8500,1.05574
4002.9000,0.966179
4002.9500,1.02954
4003.0000,0.918499
4003.0500,0.948325
4003.1000,0.950073
4003.1500,1.02847
4003.2000,0.984539
4003.2500,0.999957
4003.3000,1.02315
4003.3500,0.953929
4003.4000,1.00184
4003.4500,0.912592
4003.5000,1.03806
4003.5500,1.0419
4003.6000,1.07065
4003.6500,1.01141
4003.7000,1.07711
4003.7500,1.04425
4003.8000,1.04205
4003.8500,0.998739
4003.9000,0.965819
4003.9500,1.03863
4004.0000,1.02493
4004.0500,0.97009
4004.1000,0.952524
4004.1500,0.990271
4004.2000,1.02083
4004.2500,0.964687
4004.3000,1.00823
4004.3500,1.02944
4004.4000,1.01706
4004.4500,0.970785
4004.5000,1.03952
4004.5500,1.02109
4004.6000,0.945177
4004.6500,0.991871
4004.7000,0.991665
4004.7500,0.987754
4004.8000,1.03551
4004.8500,1.04696
4004.9000,0.934097
4004.9500,1.04782
4005.0000,0.990215
4005.0500,0.982311
4005.1000,1.01251
4005.1500,1.09748
4005.2000,1.04904
4005.2500,0.959246
4005.3000,0.978214
4005.3500,1.03832
4005.4000,1.08871
4005.4500,0.975121
4005.5000,0.987994
4005.5500,0.994001
4005.6000,1.02762
4005.6500,0.998285
4005.7000,0.998157
4005.7500,1.04411
4005.8000,0.992869
4005.8500,0.997504
4005.9000,1.08381
4005.9500,0.925574
4006.0000,0.980202
4006.0500,0.969759
4006.1000,0.941506
4006.1500,1.02031
4006.2000,1.05196
4006.2500,1.00849
