Longitud_de_onda_A,espectro
4000.0000,0.972496
4000.0500,1.0109
4000.1000,0.981414
4000.1500,0.982439
4000.2000,0.981318
4000.2500,0.992226
4000.3000,0.956258
4000.3500,0.999976
4000.4000,0.978803
4000.4500,0.981235
4000.5000,0.930952
4000.5500,0.990262
4000.6000,1.00275
4000.6500,0.948671
4000.7000,0.981815
4000.7500,0.973046
4000.8000,1.01053
4000.8500,0.996715
4000.9000,0.984898
4000.9500,0.983341
4001.0000,1.01448
4001.0500,0.982299
4001.1000,0.981468
4001.1500,0.96969
4001.2000,0.989246
4001.2500,0.978243
4001.3000,1.01019
4001.3500,0.997175
4001.4000,0.997716
4001.4500,0.969723
4001.5000,0.982739
4001.5500,0.986478
4001.6000,0.988703
4001.6500,0.962937
4001.7000,0.972687
4001.7500,0.993438
4001.8000,0.949127
4001.8500,0.977478
4001.9000,0.99526
4001.9500,1.02014
4002.0000,1.0171
4002.0500,0.992003
4002.1000,1.00011
4002.1500,1.02213
4002.2000,0.973054
4002.2500,0.971446
4002.3000,0.989451
4002.3500,0.987554
4002.4000,1.00453
4002.4500,1.00008
4002.5000,0.993047
4002.5500,1.03202
4002.6000,1.01519
4002.6500,1.00115
4002.7000,0.969322
4002.7500,0.975196
4002.8000,0.981722
4002.8500,0.992509
4002.9000,1.00884
4002.9500,1.00234
4003.0000,0.984091
4003.0500,0.963186
4003.1000,0.984309
4003.1500,0.974327
4003.2000,0.973948
4003.2500,0.984419
4003.3000,0.980583
4003.3500,1.01157
4003.4000,1.00771
4003.4500,0.986605
4003.5000,0.977839
4003.5500,0.978349
4003.6000,0.982904
4003.6500,0.98034
4003.7000,0.994026
4003.7500,1.01068
4003.8000,1.01415
4003.8500,1.00486
4003.9000,0.996824
4003.9500,0.95664
4004.0000,0.996357
4004.0500,1.02449
4004.1000,0.966031
4004.1500,0.974612
4004.2000,1.01161
4004.2500,0.99447
4004.3000,0.964933
4004.3500,0.96494
4004.4000,1.01247
4004.4500,0.980661
4004.5000,0.999875
4004.5500,0.969812
4004.6000,0.990709
4004.6500,0.986519
4004.7000,1.01083
4004.7500,0.99934
4004.8000,0.962986
4004.8500,0.992945
4004.9000,0.960559
4004.9500,0.97676
4005.0000,1.01313
4005.0500,0.989079
4005.1000,1.00336
4005.1500,0.997908
4005.2000,1.02195
4005.2500,0.98987
4005.3000,0.983022
4005.3500,0.981919
4005.4000,1.01227
4005.4500,0.960489
4005.5000,0.989722
4005.5500,0.985909
4005.6000,1.01468
4005.6500,0.975806
4005.7000,0.974406
4005.7500,1.00559
4005.8000,0.994018
4005.8500,0.996001
4005.9000,1.00742
4005.9500,1.01156
4006.0000,0.99958
4006.0500,0.991953
4006.1000,1.01955
4006.1500,0.984404
4006.2000,0.979369
4006.2500,0.982572
4006.3000,1.00424
4006.3500,0.986069
4006.4000,0.986444
4006.4500,0.962324
4006.5000,1.02675
4006.5500,0.9976
4006.6000,1.01778
4006.6500,1.01256
4006.7000,0.976128
4006.7500,0.982366
4006.8000,0.980525
4006.8500,0.975289
4006.9000,1.00147
4006.9500,0.973206
4007.0000,0.979392
4007.0500,1.01127
4007.1000,0.984374
4007.1500,0.956303
4007.2000,1.00303
4007.2500,0.958928
4007.3000,0.970778
4007.3500,0.978809
4007.4000,0.971666
4007.4500,0.976663
4007.5000,0.981573
4007.5500,0.979297
4007.6000,1.01101
4007.6500,0.972278
4007.7000,0.98516
4007.7500,0.99746
4007.8000,0.985013
4007.8500,0.991004
4007.9000,0.965697
4007.9500,1.00298
4008.0000,0.968989
4008.0500,0.9597
4008.1000,0.960559
4008.1500,0.944551
4008.2000,0.958444
4008.2500,0.959971
4008.3000,0.96157
4008.3500,0.977432
4008.4000,1.00875
4008.4500,0.954517
4008.5000,0.97789
4008.5500,0.991516
4008.6000,0.953975
4008.6500,0.968128
4008.7000,0.964659
4008.7500,0.955582
4008.8000,0.961866
4008.8500,0.962484
4008.9000,0.962971
4008.9500,0.964137
4009.0000,0.954702
4009.0500,0.952425
4009.1000,0.937957
4009.1500,0.930235
4009.2000,0.952543
4009.2500,0.94122
4009.3000,0.955155
4009.3500,0.945322
4009.4000,0.94314
4009.4500,0.986618
4009.5000,0.911717
4009.5500,0.935495
4009.6000,0.959286
4009.6500,0.968684
4009.7000,0.949164
4009.7500,0.950832
4009.8000,0.971177
4009.8500,0.95869
4009.9000,0.918546
4009.9500,0.952273
4010.0000,0.933205
4010.0500,0.942215
4010.1000,0.961125
4010.1500,0.976266
4010.2000,0.94616
4010.2500,0.941028
4010.3000,0.942417
4010.3500,0.946208
4010.4000,0.961976
4010.4500,0.976896
4010.5000,0.975901
4010.5500,0.960677
4010.6000,0.975687
4010.6500,1.0016
4010.7000,1.00328
4010.7500,1.01118
4010.8000,0.986379
4010.8500,1.01044
4010.9000,1.01876
4010.9500,1.00354
4011.0000,0.972061
4011.0500,0.965577
4011.1000,0.996064
4011.1500,0.954383
4011.2000,0.981725
4011.2500,1.00324
4011.3000,0.977839
4011.3500,0.989156
4011.4000,0.993352
4011.4500,1.00873
4011.5000,0.99066
4011.5500,1.05162
4011.6000,0.989626
4011.6500,0.974638
4011.7000,0.966128
4011.7500,0.997382
4011.8000,1.0225
4011.8500,1.04073
4011.9000,0.995378
4011.9500,1.01863
4012.0000,0.989018
4012.0500,0.99966
4012.1000,1.02876
4012.1500,1.00301
4012.2000,1.01111
4012.2500,1.00344
4012.3000,1.00943
4012.3500,0.978193
4012.4000,0.999663
4012.4500,0.999127
4012.5000,0.992762
4012.5500,1.00924
4012.6000,0.998105
4012.6500,1.02029
4012.7000,1.02202
4012.7500,1.02928
4012.8000,1.01846
4012.8500,1.02629
4012.9000,0.984554
4012.9500,1.01418
4013.0000,1.02922
4013.0500,0.997317
4013.1000,0.977397
4013.1500,1.01861
4013.2000,1.04155
4013.2500,1.02172
4013.3000,1.00301
4013.3500,1.00562
4013.4000,1.00259
4013.4500,1.04246
4013.5000,0.969998
4013.5500,0.989332
4013.6000,0.985239
4013.6500,0.968708
4013.7000,0.9806
4013.7500,1.01349
4013.8000,1.01153
4013.8500,1.0095
4013.9000,1.00533
4013.9500,1.00579
4014.0000,1.02197
4014.0500,0.995251
4014.1000,1.03533
4014.1500,1.00057
4014.2000,1.00946
4014.2500,1.022
4014.3000,1.02018
4014.3500,1.01739
4014.4000,1.00464
4014.4500,1.00089
4014.5000,1
4014.5500,1.01601
4014.6000,1.02243
4014.6500,1.0074
4014.7000,0.977128
4014.7500,0.995389
