Longitud_de_onda_A,espectro
4000.0000,0.905932
4000.0500,0.851682
4000.1000,0.900646
4000.1500,0.8766
4000.2000,0.749396
4000.2500,0.762561
4000.3000,0.744024
4000.3500,0.686813
4000.4000,0.548987
4000.4500,0.407531
4000.5000,0.511576
4000.5500,0.634527
4000.6000,0.867585
4000.6500,1.01693
4000.7000,1.06928
4000.7500,1.05379
4000.8000,1.00439
4000.8500,0.938221
4000.9000,0.917509
4000.9500,0.978119
4001.0000,0.961192
4001.0500,0.835224
4001.1000,0.77244
4001.1500,0.87755
4001.2000,0.838726
4001.2500,0.828588
4001.3000,0.889384
4001.3500,0.888354
4001.4000,0.869962
4001.4500,0.839431
4001.5000,0.875265
4001.5500,0.809545
4001.6000,0.640833
4001.6500,0.45597
4001.7000,0.508103
4001.7500,0.675833
4001.8000,0.953386
4001.8500,1.04754
4001.9000,1.10592
4001.9500,1.14008
4002.0000,1.06024
4002.0500,1.01888
4002.1000,1.01249
4002.1500,1.0894
4002.2000,1.08692
4002.2500,1.04515
4002.3000,1.07164
4002.3500,1.04479
4002.4000,0.858775
4002.4500,0.621421
4002.5000,0.631948
4002.5500,0.714979
4002.6000,0.808414
4002.6500,0.814302
4002.7000,0.867777
4002.7500,0.941789
4002.8000,0.963598
4002.8500,0.923038
4002.9000,0.805058
4002.9500,0.775559
4003.0000,0.90795
4003.0500,0.965246
4003.1000,0.950906
4003.1500,0.979749
4003.2000,1.06338
4003.2500,1.13167
4003.3000,1.11855
4003.3500,1.10279
4003.4000,1.04492
4003.4500,0.944303
4003.5000,0.925896
4003.5500,0.9434
4003.6000,0.943516
4003.6500,0.953497
4003.7000,0.889018
4003.7500,0.712782
4003.8000,0.636067
4003.8500,0.732608
4003.9000,0.895423
4003.9500,0.794552
4004.0000,0.649303
4004.0500,0.752507
4004.1000,0.918534
4004.1500,0.89834
4004.2000,1.00445
4004.2500,0.96574
4004.3000,0.988825
4004.3500,1.00347
4004.4000,1.06462
4004.4500,1.11559
4004.5000,1.06243
4004.5500,0.975868
4004.6000,0.849131
4004.6500,0.821495
4004.7000,0.725431
4004.7500,0.76427
4004.8000,0.625992
4004.8500,0.583208
4004.9000,0.564367
4004.9500,0.563861
4005.0000,0.505416
4005.0500,0.475854
4005.1000,0.443818
4005.1500,0.365436
4005.2000,0.242973
4005.2500,0.241145
4005.3000,0.266297
4005.3500,0.305996
4005.4000,0.347073
4005.4500,0.462594
4005.5000,0.551216
4005.5500,0.623559
4005.6000,0.670501
4005.6500,0.638205
4005.7000,0.624002
4005.7500,0.719346
4005.8000,0.804827
4005.8500,0.895139
4005.9000,0.777151
4005.9500,0.690892
4006.0000,0.749401
4006.0500,0.897143
4006.1000,0.924686
4006.1500,0.845424
4006.2000,0.827226
4006.2500,0.74627
4006.3000,0.651943
4006.3500,0.669349
4006.4000,0.828106
4006.4500,0.861088
4006.5000,0.914308
4006.5500,0.835184
4006.6000,0.654917
4006.6500,0.669528
4006.7000,0.675795
4006.7500,0.786124
4006.8000,0.835671
4006.8500,0.970451
4006.9000,1.04749
4006.9500,1.06117
4007.0000,1.05179
4007.0500,1.02212
4007.1000,1.02359
4007.1500,0.81412
4007.2000,0.639409
4007.2500,0.485564
4007.3000,0.557189
4007.3500,0.645484
4007.4000,0.73622
4007.4500,0.749969
4007.5000,0.799067
4007.5500,0.910523
4007.6000,0.95612
4007.6500,1.03378
4007.7000,1.02709
4007.7500,1.06381
4007.8000,1.00641
4007.8500,0.944182
4007.9000,0.773192
4007.9500,0.595239
4008.0000,0.525704
4008.0500,0.563556
4008.1000,0.635582
4008.1500,0.718419
4008.2000,0.813194
4008.2500,0.921305
4008.3000,1.01954
4008.3500,1.03389
4008.4000,1.0681
4008.4500,1.04903
4008.5000,1.09549
4008.5500,1.05001
4008.6000,0.898573
4008.6500,0.724373
4008.7000,0.583905
4008.7500,0.511872
4008.8000,0.46466
4008.8500,0.338215
4008.9000,0.26409
4008.9500,0.291157
4009.0000,0.325308
4009.0500,0.465974
4009.1000,0.607836
4009.1500,0.730612
4009.2000,0.81899
4009.2500,0.975478
4009.3000,1.06503
4009.3500,1.15332
4009.4000,1.1485
4009.4500,1.05304
4009.5000,0.811324
4009.5500,0.53217
4009.6000,0.345911
4009.6500,0.28122
4009.7000,0.244973
4009.7500,0.361089
4009.8000,0.559916
4009.8500,0.75274
4009.9000,0.935876
4009.9500,1.02091
4010.0000,1.01693
4010.0500,1.08818
4010.1000,1.04943
4010.1500,0.952876
4010.2000,0.938826
4010.2500,0.987963
4010.3000,1.05988
4010.3500,1.07362
4010.4000,0.956507
4010.4500,0.924567
4010.5000,0.902134
4010.5500,0.900477
4010.6000,0.845204
4010.6500,0.949141
4010.7000,0.969499
4010.7500,0.884463
4010.8000,0.932361
4010.8500,0.934476
4010.9000,0.95884
4010.9500,0.93131
4011.0000,0.835517
