Longitud_de_onda_A,espectro
4000.0000,0.97457
4000.0500,0.964297
4000.1000,0.948494
4000.1500,0.950347
4000.2000,0.967201
4000.2500,0.946499
4000.3000,0.972628
4000.3500,0.951231
4000.4000,0.972857
4000.4500,0.955823
4000.5000,0.972277
4000.5500,0.967924
4000.6000,0.964943
4000.6500,0.966981
4000.7000,0.954051
4000.7500,0.94453
4000.8000,0.958971
4000.8500,0.970616
4000.9000,0.97268
4000.9500,0.983
4001.0000,0.962045
4001.0500,0.995791
4001.1000,0.983508
4001.1500,0.986319
4001.2000,0.978343
4001.2500,0.9621
4001.3000,0.993049
4001.3500,0.960167
4001.4000,0.973871
4001.4500,0.965781
4001.5000,0.983547
4001.5500,0.987946
4001.6000,0.944378
4001.6500,0.988835
4001.7000,0.978006
4001.7500,0.944996
4001.8000,0.962268
4001.8500,0.953022
4001.9000,0.992053
4001.9500,0.96997
4002.0000,0.960842
4002.0500,0.977565
4002.1000,0.998293
4002.1500,0.952925
4002.2000,0.966511
4002.2500,0.961186
4002.3000,0.983986
4002.3500,0.984011
4002.4000,0.987838
4002.4500,0.969168
4002.5000,1.00293
4002.5500,0.983493
4002.6000,0.936643
4002.6500,0.969069
4002.7000,0.977391
4002.7500,0.942817
4002.8000,0.960816
4002.8500,0.981949
4002.9000,0.976119
4002.9500,0.970763
4003.0000,0.959931
4003.0500,0.959789
4003.1000,0.922745
4003.1500,0.961548
4003.2000,0.96649
4003.2500,0.960542
4003.3000,0.933044
4003.3500,0.945921
4003.4000,0.939032
4003.4500,0.93064
4003.5000,0.945196
4003.5500,0.933985
4003.6000,0.955432
4003.6500,0.955095
4003.7000,0.97242
4003.7500,0.94397
4003.8000,0.938102
4003.8500,0.953471
4003.9000,0.920659
4003.9500,0.967544
4004.0000,0.929954
4004.0500,0.970478
4004.1000,0.963962
4004.1500,0.949281
4004.2000,0.961238
4004.2500,0.985792
4004.3000,0.972358
4004.3500,0.988436
4004.4000,0.97266
4004.4500,0.999838
4004.5000,0.961394
