Longitud_de_onda_A,espectro
4000.0000,0.99279
4000.0500,0.984828
4000.1000,0.988591
4000.1500,0.994947
4000.2000,0.98582
4000.2500,0.988242
4000.3000,1.00089
4000.3500,0.993735
4000.4000,1.00286
4000.4500,0.997769
4000.5000,1.00005
4000.5500,0.999346
4000.6000,1.00526
4000.6500,1.00664
4000.7000,1.00722
4000.7500,0.998952
4000.8000,1.01658
4000.8500,0.985937
4000.9000,0.994075
4000.9500,0.993792
4001.0000,1.00244
4001.0500,0.983027
4001.1000,0.988773
4001.1500,0.985021
4001.2000,1.00266
4001.2500,1.00418
4001.3000,1.00793
4001.3500,0.990323
4001.4000,0.997636
4001.4500,0.997387
4001.5000,0.99858
4001.5500,1.00037
4001.6000,0.992595
4001.6500,0.997482
4001.7000,0.994534
4001.7500,0.999215
4001.8000,1.01533
4001.8500,1.00744
4001.9000,0.988081
4001.9500,0.995123
4002.0000,0.999397
4002.0500,1.01449
4002.1000,0.992708
4002.1500,0.997631
4002.2000,0.991648
4002.2500,1.00788
4002.3000,0.999053
4002.3500,1.00162
4002.4000,1.00395
4002.4500,1.00852
4002.5000,1.01698
4002.5500,1.01224
4002.6000,1.00932
4002.6500,1.0125
4002.7000,1.00122
4002.7500,0.996064
4002.8000,1.0065
4002.8500,0.988531
4002.9000,0.997718
4002.9500,1.01587
4003.0000,1.00759
4003.0500,0.990695
4003.1000,1.00156
4003.1500,1.00083
4003.2000,0.997737
4003.2500,1.0004
4003.3000,0.997714
4003.3500,1.00626
4003.4000,0.998162
4003.4500,1.00357
4003.5000,1.00944
4003.5500,1.0059
4003.6000,1.00241
4003.6500,1.00113
4003.7000,1.00007
4003.7500,1.00508
4003.8000,1.00625
4003.8500,0.992886
4003.9000,0.995569
4003.9500,0.997975
4004.0000,1.00814
4004.0500,1.01006
4004.1000,1.01018
4004.1500,1.00761
4004.2000,1.00927
4004.2500,1.00394
4004.3000,0.994931
4004.3500,0.995749
4004.4000,1.00762
4004.4500,1.00813
4004.5000,1.01401
4004.5500,0.998172
4004.6000,1.00405
4004.6500,1.00785
4004.7000,1.01809
4004.7500,0.997514
4004.8000,1.01169
4004.8500,0.995025
4004.9000,0.988294
4004.9500,0.988498
4005.0000,1.00507
4005.0500,0.992908
4005.1000,1.01251
4005.1500,0.993243
4005.2000,0.993218
4005.2500,0.978391
4005.3000,0.989531
4005.3500,0.986254
4005.4000,1.00045
4005.4500,0.997497
4005.5000,0.994862
4005.5500,0.993203
4005.6000,0.985438
4005.6500,0.971927
4005.7000,0.990842
4005.7500,0.986669
4005.8000,0.996211
4005.8500,0.998009
4005.9000,0.986976
4005.9500,0.99028
4006.0000,0.993131
4006.0500,0.979584
4006.1000,0.983832
4006.1500,0.971974
4006.2000,0.974968
4006.2500,0.985087
4006.3000,0.996996
4006.3500,0.982839
4006.4000,0.982772
4006.4500,0.981772
4006.5000,0.983333
4006.5500,0.965109
4006.6000,0.963442
4006.6500,0.957478
4006.7000,0.964274
4006.7500,0.975943
4006.8000,0.964603
4006.8500,0.973982
4006.9000,0.96478
4006.9500,0.965449
4007.0000,0.964504
4007.0500,0.974892
4007.1000,0.973828
4007.1500,0.969085
4007.2000,0.967601
4007.2500,0.958057
4007.3000,0.959049
4007.3500,0.962853
4007.4000,0.961626
4007.4500,0.955214
4007.5000,0.961423
4007.5500,0.966683
4007.6000,0.964541
4007.6500,0.936974
4007.7000,0.957397
4007.7500,0.967957
4007.8000,0.937832
4007.8500,0.946639
4007.9000,0.933669
4007.9500,0.944116
4008.0000,0.953887
4008.0500,0.951748
4008.1000,0.942428
4008.1500,0.944728
4008.2000,0.945113
4008.2500,0.951102
4008.3000,0.938456
4008.3500,0.953247
4008.4000,0.933508
4008.4500,0.929441
4008.5000,0.932072
4008.5500,0.93724
4008.6000,0.936098
4008.6500,0.943563
4008.7000,0.954529
4008.7500,0.950981
4008.8000,0.93674
4008.8500,0.952612
4008.9000,0.952564
4008.9500,0.944278
4009.0000,0.929529
4009.0500,0.929404
4009.1000,0.9468
4009.1500,0.935005
4009.2000,0.93099
4009.2500,0.965834
4009.3000,0.964312
4009.3500,0.942018
4009.4000,0.958149
4009.4500,0.934777
4009.5000,0.934412
4009.5500,0.952005
4009.6000,0.942301
4009.6500,0.951623
4009.7000,0.944491
4009.7500,0.948051
4009.8000,0.948839
4009.8500,0.945796
4009.9000,0.944846
4009.9500,0.945649
4010.0000,0.955117
4010.0500,0.953256
4010.1000,0.947852
4010.1500,0.941695
4010.2000,0.951766
4010.2500,0.949552
4010.3000,0.964052
4010.3500,0.954963
4010.4000,0.961185
4010.4500,0.947787
4010.5000,0.952532
