Longitud_de_onda_A,espectro
4000.0000,0.990567
4000.0500,1.0025
4000.1000,0.991721
4000.1500,0.985078
4000.2000,1.00314
4000.2500,0.956342
4000.3000,1.00047
4000.3500,0.981375
4000.4000,0.977015
4000.4500,0.991826
4000.5000,0.980224
4000.5500,0.985794
4000.6000,0.998218
4000.6500,1.00294
4000.7000,0.985265
4000.7500,0.961112
4000.8000,0.961446
4000.8500,1.00771
4000.9000,1.0026
4000.9500,0.990731
4001.0000,1.0116
4001.0500,0.99454
4001.1000,0.986908
4001.1500,0.970629
4001.2000,0.983689
4001.2500,0.97577
4001.3000,0.989375
4001.3500,0.984462
4001.4000,1.00713
4001.4500,1.02334
4001.5000,1.00515
4001.5500,0.994387
4001.6000,1.0053
4001.6500,1.00073
4001.7000,1.00105
4001.7500,0.990625
4001.8000,0.99156
4001.8500,0.98131
4001.9000,1.01101
4001.9500,1.02844
4002.0000,0.999308
4002.0500,0.976769
4002.1000,0.972496
4002.1500,1.00151
4002.2000,0.996902
4002.2500,0.980444
4002.3000,1.01545
4002.3500,0.970533
4002.4000,0.984882
4002.4500,0.9961
4002.5000,0.977941
4002.5500,0.969241
4002.6000,0.977957
4002.6500,0.993065
4002.7000,0.995758
4002.7500,1.00433
4002.8000,1.02845
4002.8500,1.01058
4002.9000,0.999902
4002.9500,0.99945
4003.0000,1.00604
4003.0500,1.00015
4003.1000,1.02545
4003.1500,0.989363
4003.2000,0.973836
4003.2500,0.985194
4003.3000,0.985236
4003.3500,0.980116
4003.4000,0.995531
4003.4500,0.983986
4003.5000,1.02057
4003.5500,1.05636
4003.6000,1.02803
4003.6500,1.00104
4003.7000,0.995684
4003.7500,1.00453
4003.8000,0.98805
4003.8500,0.999158
4003.9000,1.00141
4003.9500,0.984038
4004.0000,0.985303
4004.0500,0.984237
4004.1000,0.990845
4004.1500,0.996344
4004.2000,0.977846
4004.2500,0.982183
4004.3000,0.98689
4004.3500,0.992232
4004.4000,0.990387
4004.4500,1.01554
4004.5000,1.02603
4004.5500,0.99139
4004.6000,0.980125
4004.6500,0.992802
4004.7000,0.976602
4004.7500,0.985599
4004.8000,0.986953
4004.8500,0.969011
4004.9000,0.987534
4004.9500,0.99317
4005.0000,0.987646
4005.0500,0.981005
4005.1000,1.01043
4005.1500,0.993154
4005.2000,0.980968
4005.2500,0.99375
4005.3000,0.996255
4005.3500,0.997167
4005.4000,0.982104
4005.4500,0.980013
4005.5000,0.983827
4005.5500,1.00598
4005.6000,0.974396
4005.6500,0.989734
4005.7000,0.988247
4005.7500,1.00055
4005.8000,1.00714
4005.8500,0.998929
4005.9000,0.97442
4005.9500,0.979831
4006.0000,0.992101
4006.0500,0.989914
4006.1000,0.994312
4006.1500,1.03397
4006.2000,1.00431
4006.2500,0.987631
4006.3000,0.974592
4006.3500,0.981189
4006.4000,0.98184
4006.4500,0.977599
4006.5000,0.970428
4006.5500,0.97361
4006.6000,0.97445
4006.6500,0.983856
4006.7000,0.97238
4006.7500,0.986244
4006.8000,0.997151
4006.8500,0.972084
4006.9000,0.955287
4006.9500,0.965977
4007.0000,0.970996
4007.0500,0.988169
4007.1000,1.00191
4007.1500,0.965123
4007.2000,0.97247
4007.2500,0.965053
4007.3000,0.967742
4007.3500,0.966742
4007.4000,0.953759
4007.4500,0.971645
4007.5000,0.946765
4007.5500,0.9686
4007.6000,0.978509
4007.6500,0.967927
4007.7000,0.964035
4007.7500,0.959287
4007.8000,0.954113
4007.8500,0.96114
4007.9000,0.998444
4007.9500,0.974418
4008.0000,0.96275
4008.0500,0.945517
4008.1000,0.963281
4008.1500,0.948695
4008.2000,0.984612
4008.2500,0.966319
4008.3000,0.961639
4008.3500,0.969064
4008.4000,0.953256
4008.4500,0.956711
4008.5000,0.93942
4008.5500,0.964666
4008.6000,0.972052
4008.6500,0.948592
4008.7000,0.944428
4008.7500,0.953664
4008.8000,0.945158
4008.8500,0.972592
4008.9000,0.971716
4008.9500,0.990448
4009.0000,0.965658
4009.0500,0.960775
4009.1000,0.961951
4009.1500,0.955336
4009.2000,0.934763
4009.2500,0.944489
4009.3000,0.962102
4009.3500,0.971106
4009.4000,0.943066
4009.4500,0.972494
4009.5000,0.9394
4009.5500,0.95982
4009.6000,0.95637
4009.6500,0.939684
4009.7000,0.994193
4009.7500,0.963317
4009.8000,0.957312
4009.8500,0.962687
4009.9000,0.960284
4009.9500,0.991557
4010.0000,0.953836
4010.0500,0.962347
4010.1000,0.950457
4010.1500,0.961842
4010.2000,0.981768
4010.2500,0.963299
4010.3000,0.961577
4010.3500,0.952261
4010.4000,0.973371
4010.4500,0.948171
4010.5000,0.983211
4010.5500,0.97273
4010.6000,0.96129
4010.6500,0.975706
4010.7000,0.977164
4010.7500,0.96635
4010.8000,0.950035
4010.8500,0.99111
4010.9000,0.955151
4010.9500,0.992268
4011.0000,1.00475
4011.0500,0.96825
4011.1000,0.986942
4011.1500,0.990304
4011.2000,0.980822
4011.2500,1.00537
4011.3000,0.995426
4011.3500,0.990568
4011.4000,0.982809
4011.4500,0.988733
4011.5000,0.973345
4011.5500,0.963001
4011.6000,0.990777
4011.6500,0.99766
4011.7000,0.992466
4011.7500,0.992716
4011.8000,0.974201
4011.8500,0.972766
4011.9000,0.995367
4011.9500,0.999098
4012.0000,0.974425
4012.0500,0.962972
4012.1000,0.954386
4012.1500,0.983948
4012.2000,0.983017
4012.2500,0.9857
4012.3000,0.997801
4012.3500,0.948295
4012.4000,1.00034
4012.4500,1.02867
4012.5000,1.00848
4012.5500,1.00099
4012.6000,0.972128
4012.6500,0.993804
4012.7000,1.00798
4012.7500,1.01384
4012.8000,0.99496
4012.8500,0.994469
4012.9000,1.02515
4012.9500,1.0227
4013.0000,0.987568
4013.0500,0.996289
4013.1000,1.00232
4013.1500,1.01346
4013.2000,1.03284
4013.2500,0.988607
4013.3000,1.01885
4013.3500,0.996746
4013.4000,0.984544
4013.4500,0.985994
4013.5000,0.991027
4013.5500,1.01111
4013.6000,1.02351
4013.6500,0.99318
4013.7000,1.00702
4013.7500,1.01441
4013.8000,0.988955
4013.8500,1.00041
4013.9000,0.977873
4013.9500,0.995222
4014.0000,1.01438
4014.0500,0.981243
4014.1000,1.00341
4014.1500,0.986674
4014.2000,0.99402
4014.2500,0.995215
4014.3000,1.00317
4014.3500,1.00613
4014.4000,1.00436
4014.4500,1.00378
4014.5000,1.01496
4014.5500,1.03087
4014.6000,1.02235
4014.6500,1.00257
4014.7000,0.985461
4014.7500,0.995332
4014.8000,1.0086
4014.8500,0.999436
4014.9000,0.999264
4014.9500,1.00007
4015.0000,1.00328
4015.0500,1.03775
4015.1000,0.990864
4015.1500,0.992846
4015.2000,1.00554
4015.2500,1.01798
4015.3000,1.02113
4015.3500,1.02826
4015.4000,1.00874
4015.4500,1.04159
4015.5000,1.01408
4015.5500,1.02069
4015.6000,1.01502
4015.6500,0.99934
4015.7000,0.996272
4015.7500,0.996041
4015.8000,0.992081
4015.8500,1.01705
4015.9000,0.989953
4015.9500,1.01603
4016.0000,1.00049
4016.0500,1.01586
4016.1000,1.01911
4016.1500,0.987216
4016.2000,1.03304
4016.2500,1.00676
4016.3000,1.02459
4016.3500,1.02248
4016.4000,0.990768
4016.4500,0.992084
4016.5000,1.05572
4016.5500,0.999716
4016.6000,1.00201
4016.6500,1.00285
4016.7000,1.02232
4016.7500,1.00731
4016.8000,0.999777
4016.8500,1.01858
4016.9000,1.00223
4016.9500,1.00693
4017.0000,1.00031
4017.0500,1.0254
4017.1000,1.01636
4017.1500,0.9904
4017.2000,0.992183
4017.2500,0.982606
4017.3000,1.01947
4017.3500,1.00995
4017.4000,1.0136
4017.4500,1.00736
4017.5000,1.02077
4017.5500,0.980124
4017.6000,1.01014
4017.6500,0.999481
4017.7000,0.975809
4017.7500,0.969261
4017.8000,1.01097
4017.8500,1.01155
4017.9000,0.994913
4017.9500,1.0026
4018.0000,1.02211
4018.0500,0.986549
4018.1000,0.985811
4018.1500,1.00637
4018.2000,1.01286
4018.2500,1.01162
4018.3000,1.00169
4018.3500,0.974617
4018.4000,0.99404
4018.4500,0.994879
4018.5000,0.990103
4018.5500,1.00148
4018.6000,1.01725
4018.6500,0.991434
4018.7000,0.998471
4018.7500,0.992808
4018.8000,1.03162
4018.8500,1.00406
4018.9000,0.990385
4018.9500,1.0053
4019.0000,1.00484
4019.0500,0.971829
