Longitud_de_onda_A,espectro
3900.0000,0.997738
3900.0140,1.00564
3900.0280,1.00319
3900.0420,0.99361
3900.0560,0.993765
3900.0701,0.989366
3900.0841,0.994575
3900.0981,0.987024
3900.1121,0.998189
3900.1261,0.997843
3900.1401,0.988261
3900.1541,0.982809
3900.1681,0.983845
3900.1822,0.989209
3900.1962,0.998927
3900.2102,0.998608
3900.2242,0.995108
3900.2382,0.989274
3900.2522,0.983164
3900.2662,1.00265
3900.2802,0.991486
3900.2943,0.993167
3900.3083,0.993418
3900.3223,1.00385
3900.3363,0.991394
3900.3503,1.00196
3900.3643,0.998034
3900.3783,1.00727
3900.3923,0.998125
3900.4064,0.982391
3900.4204,0.991692
3900.4344,0.991026
3900.4484,0.990484
3900.4624,0.990689
3900.4764,0.991081
3900.4904,0.978234
3900.5044,0.978619
3900.5184,0.990249
3900.5325,0.981875
3900.5465,0.983903
3900.5605,0.997717
3900.5745,0.976808
3900.5885,0.986532
3900.6025,0.992234
3900.6165,0.991871
3900.6305,0.98495
3900.6446,0.982071
3900.6586,0.980527
3900.6726,0.990937
3900.6866,0.992331
3900.7006,0.991378
3900.7146,0.997688
3900.7286,0.992928
3900.7426,0.996421
3900.7567,1.00197
3900.7707,1.00393
3900.7847,1.00392
3900.7987,0.990077
3900.8127,0.98568
3900.8267,0.996797
3900.8407,0.995428
3900.8547,0.985698
3900.8688,0.980599
3900.8828,0.983104
3900.8968,0.989755
3900.9108,0.97213
3900.9248,0.983597
3900.9388,1.0038
3900.9528,0.996732
3900.9668,0.981755
3900.9809,0.983597
3900.9949,0.995409
3901.0089,1.00429
3901.0229,1.01734
3901.0369,0.997008
3901.0509,0.986604
3901.0649,0.989723
3901.0789,0.978697
3901.0929,0.991052
3901.1070,0.993952
3901.1210,0.989449
3901.1350,0.999383
3901.1490,0.995704
3901.1630,0.989453
3901.1770,0.981331
3901.1910,0.992703
3901.2050,0.988023
3901.2191,0.993228
3901.2331,0.99822
3901.2471,0.993433
3901.2611,0.985605
3901.2751,0.987599
3901.2891,0.998657
3901.3031,0.997028
3901.3171,1.00955
3901.3312,0.98824
3901.3452,0.977757
3901.3592,0.981052
3901.3732,0.990705
3901.3872,0.988883
3901.4012,0.986309
3901.4152,0.994225
3901.4292,0.996661
3901.4433,0.993714
3901.4573,0.991553
3901.4713,0.982157
3901.4853,0.99558
3901.4993,0.982062
3901.5133,0.974154
3901.5273,0.981673
3901.5413,0.980732
3901.5553,0.985257
3901.5694,0.978348
3901.5834,0.989805
3901.5974,0.975414
3901.6114,0.984766
3901.6254,0.997259
3901.6394,0.991377
3901.6534,0.971408
3901.6674,0.974597
3901.6815,0.988452
3901.6955,0.998564
3901.7095,0.990973
3901.7235,0.983244
3901.7375,0.988124
3901.7515,0.967018
3901.7655,0.977843
3901.7795,0.986478
3901.7936,0.997885
3901.8076,0.984091
3901.8216,0.984863
3901.8356,0.976224
3901.8496,0.973834
3901.8636,0.980455
3901.8776,0.982702
3901.8916,0.98322
3901.9057,0.984896
3901.9197,0.993314
3901.9337,0.991083
3901.9477,0.996835
3901.9617,0.992727
3901.9757,0.987965
3901.9897,0.990009
3902.0037,0.98736
3902.0177,0.981076
3902.0318,0.975391
3902.0458,0.979476
3902.0598,0.979305
3902.0738,0.996227
3902.0878,1.00486
3902.1018,0.988681
3902.1158,0.988101
3902.1298,0.98137
3902.1439,0.974621
3902.1579,0.964259
3902.1719,0.973829
3902.1859,0.97879
3902.1999,0.973568
3902.2139,0.973161
3902.2279,0.981112
3902.2419,0.979022
3902.2560,0.982263
3902.2700,0.975057
3902.2840,0.986469
3902.2980,0.981434
3902.3120,0.97839
3902.3260,0.980978
3902.3400,0.969895
3902.3540,0.96943
3902.3681,0.976769
3902.3821,0.978506
3902.3961,0.974833
3902.4101,0.978419
3902.4241,0.987829
3902.4381,0.986514
3902.4521,0.973398
3902.4661,0.9816
3902.4801,0.970129
3902.4942,0.966831
3902.5082,0.973468
3902.5222,0.979344
3902.5362,0.981311
3902.5502,0.980161
3902.5642,0.973079
3902.5782,0.975967
3902.5922,0.976111
3902.6063,0.979312
3902.6203,0.973197
3902.6343,0.983195
3902.6483,0.979956
3902.6623,0.984224
3902.6763,0.981156
3902.6903,0.984252
3902.7043,0.986398
3902.7184,0.976691
3902.7324,0.969141
3902.7464,0.972604
3902.7604,0.995126
3902.7744,0.975446
3902.7884,0.969162
3902.8024,0.977494
3902.8164,0.974328
3902.8305,0.957039
3902.8445,0.977399
3902.8585,0.985976
3902.8725,0.973066
3902.8865,0.976215
3902.9005,0.978128
3902.9145,0.986664
3902.9285,0.989283
3902.9426,0.983709
3902.9566,0.984271
3902.9706,0.97838
3902.9846,0.972222
3902.9986,0.979847
3903.0126,0.989077
3903.0266,0.985517
3903.0406,0.97286
3903.0546,0.977326
3903.0687,0.982822
3903.0827,0.973091
3903.0967,0.978754
3903.1107,0.981893
3903.1247,0.977042
3903.1387,0.980102
3903.1527,0.977944
3903.1667,0.986273
3903.1808,0.990445
3903.1948,0.976185
3903.2088,0.982432
3903.2228,0.990746
3903.2368,0.994369
3903.2508,0.993818
3903.2648,0.987498
3903.2788,0.982659
3903.2929,0.983351
3903.3069,0.978789
3903.3209,0.977269
3903.3349,0.989782
3903.3489,0.99386
3903.3629,0.988794
3903.3769,0.98028
3903.3909,0.992802
3903.4050,0.99126
3903.4190,0.998535
3903.4330,0.988673
3903.4470,0.979137
3903.4610,0.975805
3903.4750,0.991445
3903.4890,0.994425
3903.5030,0.989392
3903.5170,0.994119
3903.5311,0.980741
3903.5451,0.982459
3903.5591,0.969283
3903.5731,0.97579
3903.5871,0.979942
3903.6011,0.995036
3903.6151,0.989777
3903.6291,0.987147
3903.6432,0.987401
3903.6572,0.984606
3903.6712,0.994794
3903.6852,1.0021
3903.6992,0.987453
3903.7132,0.991717
3903.7272,0.982425
3903.7412,0.988252
3903.7553,0.984925
3903.7693,0.993982
3903.7833,0.981969
3903.7973,0.985843
3903.8113,0.987244
3903.8253,0.984109
3903.8393,0.992409
3903.8533,1.00103
3903.8674,0.992339
3903.8814,0.982979
3903.8954,0.991361
3903.9094,0.994343
3903.9234,0.992527
3903.9374,0.994963
3903.9514,0.997245
3903.9654,0.988629
3903.9794,0.990174
3903.9935,0.988408
3904.0075,0.981354
3904.0215,0.980812
3904.0355,0.987178
3904.0495,0.997398
3904.0635,0.998785
3904.0775,0.992105
3904.0915,0.981563
3904.1056,0.982313
3904.1196,0.991009
3904.1336,1.00913
3904.1476,0.996203
3904.1616,0.990758
3904.1756,1.00661
3904.1896,0.99101
3904.2036,0.990269
3904.2177,0.984526
3904.2317,0.971206
3904.2457,0.98452
3904.2597,0.98766
3904.2737,0.984401
3904.2877,0.98939
3904.3017,0.999513
3904.3157,0.999929
3904.3298,1.00012
3904.3438,0.995445
3904.3578,0.996148
3904.3718,0.98956
3904.3858,0.998375
3904.3998,0.996205
3904.4138,0.985094
3904.4278,0.989036
3904.4418,0.993673
3904.4559,0.999439
3904.4699,0.991647
3904.4839,0.986198
3904.4979,0.999594
3904.5119,0.986624
3904.5259,1.00019
3904.5399,0.988999
3904.5539,0.991035
3904.5680,0.990949
3904.5820,0.986708
3904.5960,0.984927
3904.6100,0.977266
3904.6240,0.985375
3904.6380,0.991497
3904.6520,1.00341
3904.6660,1.00434
3904.6801,1.00194
3904.6941,0.993977
3904.7081,0.995104
3904.7221,0.989825
3904.7361,1.00213
3904.7501,0.995509
3904.7641,0.994514
3904.7781,0.9963
3904.7922,1.00236
3904.8062,0.998743
3904.8202,1.00551
3904.8342,0.99376
3904.8482,0.986074
3904.8622,0.991716
3904.8762,0.989529
3904.8902,0.992967
3904.9043,1.00259
3904.9183,0.997327
3904.9323,0.991408
3904.9463,1.00177
3904.9603,0.985693
3904.9743,0.998321
3904.9883,1.00227
3905.0023,1.00391
3905.0163,1.01159
3905.0304,0.998952
3905.0444,0.988987
3905.0584,0.99487
3905.0724,0.979644
3905.0864,1.00484
3905.1004,1.00754
3905.1144,0.997458
3905.1284,0.99387
3905.1425,1.0031
3905.1565,0.978678
3905.1705,0.983835
3905.1845,0.997536
3905.1985,0.991223
3905.2125,0.981316
3905.2265,0.990365
3905.2405,1.00734
3905.2546,1.00741
3905.2686,0.992094
3905.2826,0.983992
3905.2966,0.984644
3905.3106,0.984538
3905.3246,0.992418
3905.3386,0.988997
3905.3526,0.990725
3905.3667,1.00115
3905.3807,1.00299
3905.3947,0.997839
3905.4087,0.992489
3905.4227,0.985327
3905.4367,0.989073
3905.4507,1.01425
3905.4647,1.00376
3905.4787,0.997697
3905.4928,0.996844
3905.5068,1.00164
3905.5208,0.99801
3905.5348,1.00023
3905.5488,0.990691
3905.5628,0.981969
3905.5768,0.997957
3905.5908,1.00259
3905.6049,0.991748
3905.6189,0.988566
3905.6329,0.992226
3905.6469,0.997257
3905.6609,0.98133
3905.6749,0.993653
3905.6889,0.992194
3905.7029,0.991908
3905.7170,0.994199
3905.7310,0.997709
3905.7450,0.995198
3905.7590,0.982423
3905.7730,0.990172
3905.7870,0.983364
3905.8010,1.00697
3905.8150,1.00303
3905.8291,0.99797
3905.8431,1.00876
3905.8571,0.99185
3905.8711,0.987645
3905.8851,0.999792
3905.8991,1.00103
3905.9131,0.990995
3905.9271,0.981997
3905.9411,0.997761
3905.9552,1.00303
3905.9692,0.997202
3905.9832,0.98629
3905.9972,0.986517
