Longitud_de_onda_A,espectro
4000.0000,0.986675
4000.0500,0.974629
4000.1000,0.94431
4000.1500,0.954859
4000.2000,0.985773
4000.2500,0.962526
4000.3000,0.973251
4000.3500,0.962245
4000.4000,0.975591
4000.4500,0.968856
4000.5000,0.976282
4000.5500,0.986621
4000.6000,0.970166
4000.6500,0.94882
4000.7000,0.987102
4000.7500,0.974602
4000.8000,0.975487
4000.8500,1.00721
4000.9000,0.980346
4000.9500,0.963776
4001.0000,0.950548
4001.0500,0.949863
4001.1000,0.961305
4001.1500,0.976177
4001.2000,0.985002
4001.2500,0.949113
4001.3000,0.962176
4001.3500,0.970266
4001.4000,0.959641
4001.4500,0.958765
4001.5000,0.965474
4001.5500,0.958559
4001.6000,0.954653
4001.6500,1.01647
4001.7000,0.953168
4001.7500,0.95887
4001.8000,0.991429
4001.8500,0.929873
4001.9000,0.995101
4001.9500,0.97114
4002.0000,0.975784
4002.0500,0.962305
4002.1000,0.979795
4002.1500,0.976728
4002.2000,0.959755
4002.2500,0.961555
4002.3000,0.959693
4002.3500,1.00807
4002.4000,0.956563
4002.4500,0.965624
4002.5000,0.966071
4002.5500,0.985848
4002.6000,0.945308
4002.6500,0.953862
4002.7000,0.956922
4002.7500,0.995777
4002.8000,0.979724
4002.8500,0.979168
4002.9000,0.987948
4002.9500,0.943094
4003.0000,0.982205
4003.0500,0.97602
4003.1000,0.958315
4003.1500,0.95782
4003.2000,0.980277
4003.2500,0.944692
4003.3000,0.979643
4003.3500,0.988885
4003.4000,0.951284
4003.4500,0.949358
4003.5000,0.96072
4003.5500,0.979078
4003.6000,0.968422
4003.6500,0.978946
4003.7000,0.924069
4003.7500,0.974432
4003.8000,0.977325
4003.8500,0.984174
4003.9000,0.944872
4003.9500,0.947255
4004.0000,0.953209
4004.0500,0.993764
4004.1000,0.967022
4004.1500,0.939187
4004.2000,0.996163
4004.2500,0.97269
4004.3000,0.941095
4004.3500,0.985987
4004.4000,0.96037
4004.4500,0.95091
4004.5000,0.95102
4004.5500,0.986988
4004.6000,1.00649
4004.6500,0.976628
4004.7000,0.987969
4004.7500,0.972929
4004.8000,0.970986
4004.8500,0.965376
4004.9000,0.966433
4004.9500,0.977578
4005.0000,0.982644
4005.0500,0.970034
4005.1000,0.998921
4005.1500,0.988539
4005.2000,0.965442
4005.2500,0.998755
4005.3000,0.961637
4005.3500,1.00999
4005.4000,0.997796
4005.4500,1.00279
4005.5000,0.985862
4005.5500,0.982171
4005.6000,1.00462
4005.6500,0.990847
4005.7000,1.00055
4005.7500,0.987083
4005.8000,0.983259
4005.8500,1.00017
4005.9000,0.986408
4005.9500,0.958103
4006.0000,0.957984
4006.0500,0.950725
4006.1000,1.00689
4006.1500,1.00581
4006.2000,0.989419
4006.2500,1.0051
4006.3000,1.01339
4006.3500,0.989605
4006.4000,1.01517
4006.4500,1.03476
4006.5000,1.02656
4006.5500,0.985104
4006.6000,0.968988
4006.6500,0.973209
4006.7000,0.991855
4006.7500,0.96287
4006.8000,0.971987
4006.8500,0.964416
4006.9000,1.00417
4006.9500,0.980343
4007.0000,0.991965
4007.0500,1.00513
4007.1000,0.994328
4007.1500,1.0014
4007.2000,0.957382
4007.2500,0.971131
4007.3000,0.955989
4007.3500,1.0087
4007.4000,0.981065
4007.4500,0.968789
4007.5000,1.00735
4007.5500,0.994249
4007.6000,0.993775
4007.6500,0.980582
4007.7000,0.983714
4007.7500,0.995163
4007.8000,0.993572
4007.8500,0.976808
4007.9000,0.956376
4007.9500,0.993667
4008.0000,0.972269
4008.0500,1.00433
4008.1000,0.980495
4008.1500,0.994708
4008.2000,0.997161
4008.2500,0.973401
4008.3000,1.00405
4008.3500,0.970133
4008.4000,0.966766
4008.4500,0.991986
4008.5000,0.995421
4008.5500,0.981384
4008.6000,0.98102
4008.6500,0.99345
4008.7000,0.965134
4008.7500,0.946657
4008.8000,0.976012
4008.8500,0.956872
4008.9000,0.990669
4008.9500,0.996306
4009.0000,1.00623
4009.0500,1.00187
4009.1000,0.984939
4009.1500,0.996798
4009.2000,1.0224
4009.2500,0.994045
4009.3000,0.98772
4009.3500,1.03607
4009.4000,1.01238
4009.4500,1.00337
4009.5000,1.01524
4009.5500,0.992283
4009.6000,1.02283
4009.6500,0.990388
4009.7000,1.00155
4009.7500,0.998636
4009.8000,0.983682
4009.8500,1.00313
4009.9000,0.986091
4009.9500,0.97879
4010.0000,0.990193
4010.0500,0.972436
4010.1000,0.993767
4010.1500,0.968629
4010.2000,0.970006
4010.2500,1.00396
4010.3000,1.02287
4010.3500,0.978574
4010.4000,1.00327
4010.4500,0.984027
4010.5000,1.02073
4010.5500,1.0122
4010.6000,0.998186
4010.6500,1.0041
4010.7000,0.993443
4010.7500,0.968705
4010.8000,0.982395
4010.8500,1.0178
4010.9000,1.00964
4010.9500,1.01275
4011.0000,1.02435
4011.0500,1.00456
4011.1000,1.00519
4011.1500,1.01306
4011.2000,1.01537
4011.2500,0.998969
4011.3000,0.999351
4011.3500,0.99837
4011.4000,1.04975
4011.4500,1.00546
4011.5000,0.99838
4011.5500,0.982757
4011.6000,0.982962
4011.6500,0.989435
4011.7000,0.991307
4011.7500,1.02477
4011.8000,1.0063
4011.8500,1.00745
4011.9000,0.999988
4011.9500,1.01494
4012.0000,0.996834
4012.0500,1.00897
4012.1000,0.992897
4012.1500,1.01176
4012.2000,1.01723
4012.2500,0.988676
4012.3000,1.01081
4012.3500,0.99377
4012.4000,0.989444
4012.4500,1.04796
4012.5000,1.02212
4012.5500,0.985847
4012.6000,1.05003
4012.6500,1.01508
4012.7000,1.00116
4012.7500,1.01285
4012.8000,0.987778
4012.8500,1.00652
4012.9000,0.99428
4012.9500,1.00302
4013.0000,1.04601
4013.0500,1.03217
4013.1000,1.01017
4013.1500,1.07078
4013.2000,0.970553
4013.2500,1.01773
4013.3000,1.03257
4013.3500,1.03401
4013.4000,1.02176
4013.4500,1.00194
4013.5000,0.992304
4013.5500,1.07551
4013.6000,1.0154
4013.6500,0.990987
4013.7000,1.01216
4013.7500,1.058
4013.8000,1.02723
4013.8500,1.01754
4013.9000,1.03
4013.9500,1.05211
4014.0000,1.01777
4014.0500,0.9934
4014.1000,1.01224
4014.1500,0.977714
4014.2000,0.987712
4014.2500,0.966008
4014.3000,0.966135
4014.3500,0.986554
4014.4000,1.00896
4014.4500,1.0025
4014.5000,0.964022
4014.5500,0.989908
4014.6000,0.974506
4014.6500,1.01036
4014.7000,0.993338
4014.7500,0.994312
4014.8000,0.975434
4014.8500,0.99674
4014.9000,0.984729
4014.9500,0.983099
4015.0000,0.99088
4015.0500,0.999199
4015.1000,0.99598
4015.1500,1.01555
4015.2000,1.02416
4015.2500,1.01792
4015.3000,0.99393
4015.3500,0.995361
4015.4000,0.987419
4015.4500,1.01961
4015.5000,0.988148
4015.5500,1.00568
4015.6000,1.01655
4015.6500,0.989254
4015.7000,1.01967
4015.7500,0.990903
4015.8000,0.955778
4015.8500,0.981156
4015.9000,0.988581
4015.9500,1.03748
4016.0000,1.02511
4016.0500,0.989753
4016.1000,1.0163
4016.1500,0.98991
4016.2000,1.00797
4016.2500,1.01361
4016.3000,1.01243
4016.3500,1.04851
4016.4000,0.99498
4016.4500,0.999902
4016.5000,1.02025
4016.5500,1.02354
4016.6000,0.985423
4016.6500,0.983525
4016.7000,0.960702
4016.7500,0.982557
4016.8000,0.982735
4016.8500,0.977732
4016.9000,1.02198
4016.9500,1.01235
4017.0000,1.00809
4017.0500,0.994822
4017.1000,0.999191
4017.1500,0.984966
4017.2000,0.976742
4017.2500,1.00283
4017.3000,0.98936
4017.3500,1.00081
4017.4000,0.997912
4017.4500,1.00876
4017.5000,1.00274
4017.5500,0.978291
4017.6000,1.00004
4017.6500,1.00625
4017.7000,1.00332
4017.7500,1.00119
4017.8000,1.0181
4017.8500,0.986716
4017.9000,0.992818
4017.9500,0.997031
4018.0000,1.00955
4018.0500,0.974703
4018.1000,0.997088
4018.1500,1.00496
4018.2000,0.99964
4018.2500,0.994873
4018.3000,0.999916
4018.3500,1.00031
4018.4000,1.02713
4018.4500,1.00687
4018.5000,0.982533
4018.5500,1.00679
4018.6000,1.00399
4018.6500,1.01224
4018.7000,1.00746
4018.7500,0.985114
4018.8000,0.976619
4018.8500,0.958285
4018.9000,0.969298
4018.9500,0.97045
4019.0000,0.984996
4019.0500,0.993067
4019.1000,0.989559
4019.1500,1.01638
4019.2000,0.967466
4019.2500,0.988059
4019.3000,0.969286
4019.3500,0.972413
4019.4000,0.99294
4019.4500,0.987839
4019.5000,0.985603
4019.5500,0.990647
4019.6000,0.981685
4019.6500,1.03197
4019.7000,0.982494
4019.7500,0.981476
4019.8000,0.980849
4019.8500,0.997073
4019.9000,0.991437
4019.9500,1.00377
4020.0000,0.961779
4020.0500,0.982651
4020.1000,0.950188
4020.1500,0.968037
4020.2000,0.953008
4020.2500,0.953307
4020.3000,0.983651
4020.3500,1.01695
4020.4000,0.993983
4020.4500,0.991804
4020.5000,0.962907
4020.5500,0.993789
4020.6000,0.995443
4020.6500,0.99086
4020.7000,0.97378
4020.7500,0.987446
4020.8000,1.02445
4020.8500,1.00954
4020.9000,0.964194
4020.9500,0.971855
4021.0000,0.993903
4021.0500,0.98091
4021.1000,0.962277
4021.1500,0.972777
4021.2000,0.983344
4021.2500,0.969456
4021.3000,0.96683
4021.3500,0.95581
4021.4000,0.964553
4021.4500,0.96924
4021.5000,0.969342
4021.5500,0.985221
4021.6000,0.986568
4021.6500,0.978846
4021.7000,0.984637
4021.7500,0.986414
4021.8000,0.937411
4021.8500,0.963983
4021.9000,0.971446
4021.9500,0.968585
4022.0000,0.956985
4022.0500,0.971497
4022.1000,0.988078
4022.1500,0.977013
4022.2000,0.957663
4022.2500,0.977917
4022.3000,0.940413
4022.3500,0.956768
4022.4000,0.970073
4022.4500,0.96383
4022.5000,0.965468
4022.5500,0.968085
4022.6000,0.924748
4022.6500,0.941943
4022.7000,0.946903
4022.7500,0.950107
4022.8000,0.949323
4022.8500,0.939643
4022.9000,0.9356
4022.9500,0.962113
4023.0000,0.945323
4023.0500,0.968163
4023.1000,0.971416
4023.1500,1.00218
4023.2000,0.98586
4023.2500,0.960842
4023.3000,0.953065
4023.3500,0.922141
4023.4000,0.946838
4023.4500,0.946757
4023.5000,0.925243
4023.5500,0.906929
4023.6000,0.924054
4023.6500,0.900168
4023.7000,0.923158
4023.7500,0.920561
4023.8000,0.886903
4023.8500,0.88479
4023.9000,0.883171
4023.9500,0.87535
4024.0000,0.880074
4024.0500,0.887154
4024.1000,0.890067
4024.1500,0.877136
4024.2000,0.904754
4024.2500,0.865286
4024.3000,0.87593
4024.3500,0.857047
4024.4000,0.843857
4024.4500,0.846772
4024.5000,0.839559
4024.5500,0.812924
4024.6000,0.82791
4024.6500,0.829128
4024.7000,0.825471
4024.7500,0.83351
4024.8000,0.807781
4024.8500,0.805512
4024.9000,0.768278
4024.9500,0.787354
4025.0000,0.801929
4025.0500,0.804759
4025.1000,0.780283
4025.1500,0.781294
4025.2000,0.775338
4025.2500,0.760173
4025.3000,0.79353
4025.3500,0.77825
4025.4000,0.767454
4025.4500,0.776259
4025.5000,0.771716
4025.5500,0.765081
4025.6000,0.762361
4025.6500,0.744924
4025.7000,0.749558
4025.7500,0.736436
4025.8000,0.744133
4025.8500,0.735081
4025.9000,0.756063
4025.9500,0.763954
