Longitud_de_onda_A,espectro
4000.0000,0.986867
4000.0500,0.974196
4000.1000,0.943529
4000.1500,0.955012
4000.2000,0.986205
4000.2500,0.961523
4000.3000,0.973244
4000.3500,0.962705
4000.4000,0.975982
4000.4500,0.967815
4000.5000,0.976953
4000.5500,0.986207
4000.6000,0.970393
4000.6500,0.949935
4000.7000,0.987376
4000.7500,0.973761
4000.8000,0.976355
4000.8500,1.00771
4000.9000,0.98109
4000.9500,0.964051
4001.0000,0.949764
4001.0500,0.950293
4001.1000,0.963075
4001.1500,0.974746
4001.2000,0.983096
4001.2500,0.94959
4001.3000,0.962107
4001.3500,0.970715
4001.4000,0.959863
4001.4500,0.959255
4001.5000,0.965783
4001.5500,0.959126
4001.6000,0.953807
4001.6500,1.01661
4001.7000,0.95284
4001.7500,0.959264
4001.8000,0.992431
4001.8500,0.928781
4001.9000,0.994421
4001.9500,0.97077
4002.0000,0.97549
4002.0500,0.962252
4002.1000,0.979661
4002.1500,0.976578
4002.2000,0.958488
4002.2500,0.962278
4002.3000,0.959079
4002.3500,1.00801
4002.4000,0.955731
4002.4500,0.96464
4002.5000,0.966334
4002.5500,0.987211
4002.6000,0.94493
4002.6500,0.954125
4002.7000,0.956167
4002.7500,0.996221
4002.8000,0.980227
4002.8500,0.978518
4002.9000,0.987504
4002.9500,0.942303
4003.0000,0.982847
4003.0500,0.975991
4003.1000,0.958598
4003.1500,0.957374
4003.2000,0.981274
4003.2500,0.945379
4003.3000,0.980252
4003.3500,0.990128
4003.4000,0.95081
4003.4500,0.948859
4003.5000,0.959867
4003.5500,0.979692
4003.6000,0.9688
4003.6500,0.977763
4003.7000,0.923417
4003.7500,0.97492
4003.8000,0.977603
4003.8500,0.983844
4003.9000,0.945247
4003.9500,0.945826
4004.0000,0.953543
4004.0500,0.993662
4004.1000,0.967709
4004.1500,0.940297
4004.2000,0.995782
4004.2500,0.972758
4004.3000,0.94062
4004.3500,0.984909
4004.4000,0.958729
4004.4500,0.950908
4004.5000,0.950465
4004.5500,0.987699
4004.6000,1.00573
4004.6500,0.97754
4004.7000,0.988388
4004.7500,0.97308
4004.8000,0.971893
4004.8500,0.965588
4004.9000,0.967105
4004.9500,0.977468
4005.0000,0.982332
4005.0500,0.970715
4005.1000,0.999337
4005.1500,0.988432
4005.2000,0.964877
4005.2500,0.998763
4005.3000,0.961413
4005.3500,1.00967
4005.4000,0.999652
4005.4500,1.00241
4005.5000,0.984925
4005.5500,0.982481
4005.6000,1.00354
4005.6500,0.990895
4005.7000,1.00095
4005.7500,0.98737
4005.8000,0.982492
4005.8500,1.00018
4005.9000,0.985755
4005.9500,0.957998
4006.0000,0.957857
4006.0500,0.951673
4006.1000,1.0078
4006.1500,1.00468
4006.2000,0.989425
4006.2500,1.00617
4006.3000,1.01319
4006.3500,0.990363
4006.4000,1.01586
4006.4500,1.03521
4006.5000,1.02755
4006.5500,0.984455
4006.6000,0.9678
4006.6500,0.972323
4006.7000,0.991958
4006.7500,0.962013
4006.8000,0.971504
4006.8500,0.965147
4006.9000,1.00574
4006.9500,0.980454
4007.0000,0.991464
4007.0500,1.00374
4007.1000,0.995879
4007.1500,1.00043
4007.2000,0.957706
4007.2500,0.970855
4007.3000,0.956108
4007.3500,1.00892
4007.4000,0.981767
4007.4500,0.968377
4007.5000,1.00707
4007.5500,0.994326
4007.6000,0.994628
4007.6500,0.980783
4007.7000,0.984115
4007.7500,0.994402
4007.8000,0.992929
4007.8500,0.977482
4007.9000,0.957124
4007.9500,0.993984
4008.0000,0.971278
4008.0500,1.00351
4008.1000,0.980336
4008.1500,0.99534
4008.2000,0.995647
4008.2500,0.973948
4008.3000,1.0019
4008.3500,0.971396
4008.4000,0.967846
4008.4500,0.991334
4008.5000,0.996751
4008.5500,0.980503
4008.6000,0.981317
4008.6500,0.992813
4008.7000,0.964599
4008.7500,0.947382
4008.8000,0.975973
4008.8500,0.959047
4008.9000,0.990791
4008.9500,0.996173
4009.0000,1.00576
4009.0500,1.00096
4009.1000,0.985123
4009.1500,0.996505
4009.2000,1.02145
4009.2500,0.993653
4009.3000,0.986944
4009.3500,1.03613
4009.4000,1.0127
4009.4500,1.00199
4009.5000,1.01469
4009.5500,0.991461
4009.6000,1.02189
4009.6500,0.991093
4009.7000,1.00173
4009.7500,0.999821
